,Result
Algeria,Round of 16
Angola,Groups
Argentina,Champions
Australia,Round of 16
Austria,Semifinals
Belgium,Semifinals
Bolivia,Groups
Bosnia and Herzegovina,Groups
Brazil,Champions
Bulgaria,Semifinals
Cameroon,Quarterfinals
Canada,Groups
Chile,Semifinals
China PR,Groups
Colombia,Quarterfinals
Costa Rica,Quarterfinals
Cote d'Ivoire,Groups
Croatia,Semifinals
Cuba,Quarterfinals
Czech Republic,Groups
Czechoslovakia,Finals
Denmark,Quarterfinals
Dutch West Indies,Groups
East Germany,Round of 16
Ecuador,Round of 16
Egypt,Groups
El Salvador,Groups
England,Champions
France,Champions
Germany,Champions
Ghana,Quarterfinals
Greece,Round of 16
Haiti,Groups
Honduras,Groups
Hungary,Finals
Iran,Groups
Iraq,Groups
Israel,Groups
Italy,Champions
Jamaica,Groups
Japan,Round of 16
Kuwait,Groups
Mexico,Quarterfinals
Morocco,Round of 16
Netherlands,Finals
New Zealand,Groups
Nigeria,Round of 16
North Korea,Quarterfinals
Northern Ireland,Quarterfinals
Norway,Round of 16
Paraguay,Quarterfinals
Peru,Quarterfinals
Poland,Semifinals
Portugal,Semifinals
Republic of Ireland,Quarterfinals
Romania,Quarterfinals
Russia,Groups
Saudi Arabia,Round of 16
Scotland,Groups
Senegal,Quarterfinals
Serbia,Groups
Slovakia,Round of 16
Slovenia,Groups
South Africa,Groups
South Korea,Semifinals
Soviet Union,Semifinals
Spain,Champions
Sweden,Finals
Switzerland,Quarterfinals
Togo,Groups
Trinidad and Tobago,Groups
Tunisia,Groups
Turkey,Semifinals
Ukraine,Quarterfinals
United Arab Emirates,Groups
United States,Semifinals
Uruguay,Champions
Wales,Quarterfinals
West Germany,Champions
Yugoslavia,Semifinals
Zaire,Groups
