,Goals For,Goals Against,Avg. Goals For,Avg. Goals Against,For/Against Ratio
Hungary,87,57,2.71875,1.78125,1.5263157894736843
Germany,104,46,2.1666666666666665,0.9583333333333334,2.260869565217391
West Germany,131,77,2.1129032258064515,1.2419354838709677,1.7012987012987013
Brazil,225,114,2.0833333333333335,1.0555555555555556,1.973684210526316
Turkey,20,17,2.0,1.7,1.1764705882352942
France,108,72,1.7704918032786885,1.180327868852459,1.5
Soviet Union,53,34,1.7096774193548387,1.096774193548387,1.558823529411765
Denmark,27,24,1.6875,1.5,1.125
Netherlands,91,49,1.6851851851851851,0.9074074074074074,1.857142857142857
Portugal,43,29,1.6538461538461537,1.1153846153846154,1.482758620689655
Argentina,133,85,1.6419753086419753,1.0493827160493827,1.5647058823529412
Yugoslavia,60,46,1.6216216216216217,1.2432432432432432,1.3043478260869565
Sweden,74,69,1.608695652173913,1.5,1.0724637681159421
Spain,92,66,1.5593220338983051,1.11864406779661,1.393939393939394
Italy,128,77,1.5421686746987953,0.927710843373494,1.6623376623376624
Uruguay,80,73,1.5384615384615385,1.4038461538461537,1.0958904109589043
Colombia,29,29,1.45,1.45,1.0
Russia,13,13,1.4444444444444444,1.4444444444444444,1.0
Poland,44,40,1.4193548387096775,1.2903225806451613,1.1
Senegal,7,6,1.4,1.2,1.1666666666666667
Bosnia and Herzegovina,4,4,1.3333333333333333,1.3333333333333333,1.0
Croatia,21,17,1.3125,1.0625,1.2352941176470589
England,79,56,1.2741935483870968,0.9032258064516129,1.4107142857142858
East Germany,5,5,0.8333333333333334,0.8333333333333334,1.0
Wales,4,4,0.8,0.8,1.0
Republic of Ireland,10,10,0.7692307692307693,0.7692307692307693,1.0
