location,Match Count,Average Goals Seen,Total Goals Seen
"Strasbourg, France",1,11.0,11.0
"Basel, Switzerland",6,6.0,36.0
"Zürich, Switzerland",5,5.6,28.0
"Norrköping, Sweden",3,6.333333333333333,19.0
"Geneva, Switzerland",4,4.75,19.0
"Colombes, France",3,4.666666666666667,14.0
"Montevideo, Uruguay",18,3.888888888888889,70.0
"Belo Horizonte, Brazil",11,3.5454545454545454,39.0
"Porto Alegre, Brazil",7,4.0,28.0
"Lausanne, Switzerland",5,4.4,22.0
"Liverpool, England",5,4.2,21.0
"Berne, Switzerland",5,4.0,20.0
"Seville, Spain",4,4.5,18.0
"Sheffield, England",4,3.5,14.0
"Suwon, South Korea",4,3.5,14.0
"Alicante, Spain",3,4.0,12.0
"Daejeon, South Korea",3,4.0,12.0
"Elche, Spain",3,4.0,12.0
"Manchester, England",3,3.6666666666666665,11.0
"Sapporo, Japan",3,3.6666666666666665,11.0
"Guadalajara, Mexico",17,2.7058823529411766,46.0
"León, Mexico",11,3.4545454545454546,38.0
"Munich, Germany",11,3.272727272727273,36.0
"Gelsenkirchen, Germany",10,3.2,32.0
"Paris, France",9,3.111111111111111,28.0
"Salvador, Brazil",8,3.375,27.0
"Córdoba, Argentina",8,3.25,26.0
"Brasília, Brazil",10,2.6,26.0
"Santiago, Chile",10,2.6,26.0
"Solna, Sweden",8,3.125,25.0
"Marseille, France",9,2.7777777777777777,25.0
"Milan, Italy",9,2.7777777777777777,25.0
"Naples, Italy",7,3.2857142857142856,23.0
"Rome, Italy",9,2.5555555555555554,23.0
"Hamburg, Germany",8,2.625,21.0
"Arica, Chile",7,2.857142857142857,20.0
"Recife, Brazil",7,2.857142857142857,20.0
"Dallas, United States",6,3.1666666666666665,19.0
"Palo Alto, United States",6,3.1666666666666665,19.0
"Florence, Italy",7,2.5714285714285716,18.0
"Turin, Italy",7,2.5714285714285716,18.0
"Bari, Italy",5,3.4,17.0
"Bologna, Italy",6,2.8333333333333335,17.0
"Lyon, France",6,2.8333333333333335,17.0
"Rosario, Argentina",6,2.8333333333333335,17.0
"Mendoza, Argentina",6,2.6666666666666665,16.0
"Chicago, United States",5,2.8,14.0
"Düsseldorf, Germany",5,2.8,14.0
"Verona, Italy",4,3.0,12.0
"Querétaro, Mexico",4,2.75,11.0
"Mexico City, Mexico",23,2.4347826086956523,56.0
"Rio de Janeiro, Brazil",18,2.388888888888889,43.0
"Johannesburg, South Africa",15,2.2666666666666666,34.0
"Dortmund, Germany",10,2.2,22.0
"Saint-Denis, France",9,2.3333333333333335,21.0
"Stuttgart, Germany",10,2.1,21.0
"Cape Town, South Africa",8,2.5,20.0
"Barcelona, Spain",8,2.375,19.0
"Fortaleza, Brazil",8,2.375,19.0
"Viña del Mar, Chile",8,2.375,19.0
"Pasadena, United States",8,2.25,18.0
"Gothenburg, Sweden",7,2.4285714285714284,17.0
"Puebla, Mexico",8,2.125,17.0
"Rancagua, Chile",7,2.2857142857142856,16.0
"Foxborough, United States",6,2.5,15.0
"Lens, France",6,2.5,15.0
"Nantes, France",6,2.5,15.0
"Curitiba, Brazil",7,2.142857142857143,15.0
"Bloemfontein, South Africa",6,2.3333333333333335,14.0
"Genoa, Italy",5,2.2,11.0
