,Goals For,Goals Against,Avg. Goals For,Avg. Goals Against,For/Against Ratio
Dutch West Indies,0,6,0.0,6.0,0.0
Zaire,0,14,0.0,4.666666666666667,0.0
Haiti,2,14,0.6666666666666666,4.666666666666667,0.14285714285714285
Cuba,5,12,1.6666666666666667,4.0,0.4166666666666667
United Arab Emirates,2,11,0.6666666666666666,3.6666666666666665,0.18181818181818182
El Salvador,1,22,0.16666666666666666,3.6666666666666665,0.045454545454545456
Bolivia,1,20,0.16666666666666666,3.3333333333333335,0.049999999999999996
China PR,0,9,0.0,3.0,0.0
North Korea,6,21,0.8571428571428571,3.0,0.2857142857142857
Jamaica,3,9,1.0,3.0,0.3333333333333333
Saudi Arabia,9,32,0.6923076923076923,2.4615384615384617,0.28125
New Zealand,4,14,0.6666666666666666,2.3333333333333335,0.2857142857142857
Serbia,4,13,0.6666666666666666,2.1666666666666665,0.3076923076923077
South Korea,31,67,1.0,2.161290322580645,0.4626865671641791
Peru,19,31,1.2666666666666666,2.066666666666667,0.6129032258064515
Bulgaria,22,53,0.8461538461538461,2.0384615384615383,0.41509433962264153
Australia,11,26,0.8461538461538461,2.0,0.4230769230769231
Togo,1,6,0.3333333333333333,2.0,0.16666666666666666
Kuwait,2,6,0.6666666666666666,2.0,0.3333333333333333
Greece,6,21,0.5454545454545454,1.9090909090909092,0.2857142857142857
United States,38,64,1.1176470588235294,1.8823529411764706,0.59375
Cameroon,18,43,0.782608695652174,1.8695652173913044,0.4186046511627907
Iran,7,22,0.5833333333333334,1.8333333333333333,0.31818181818181823
Scotland,25,41,1.0869565217391304,1.7826086956521738,0.6097560975609756
South Africa,11,16,1.2222222222222223,1.7777777777777777,0.6875000000000001
Northern Ireland,13,23,1.0,1.7692307692307692,0.5652173913043479
Switzerland,45,60,1.3235294117647058,1.7647058823529411,0.75
Slovakia,5,7,1.25,1.75,0.7142857142857143
Mexico,58,94,1.0740740740740742,1.7407407407407407,0.6170212765957448
Slovenia,5,10,0.8333333333333334,1.6666666666666667,0.5
Canada,0,5,0.0,1.6666666666666667,0.0
Austria,43,47,1.4827586206896552,1.6206896551724137,0.9148936170212767
Belgium,54,68,1.255813953488372,1.5813953488372092,0.7941176470588236
Cote d'Ivoire,13,14,1.4444444444444444,1.5555555555555556,0.9285714285714285
Honduras,3,14,0.3333333333333333,1.5555555555555556,0.21428571428571427
Romania,30,32,1.4285714285714286,1.5238095238095237,0.9375000000000001
Algeria,14,21,1.0,1.5,0.6666666666666666
Egypt,3,6,0.75,1.5,0.5
Czechoslovakia,44,45,1.4666666666666666,1.5,0.9777777777777777
Nigeria,20,28,1.0526315789473684,1.4736842105263157,0.7142857142857143
Chile,41,50,1.2058823529411764,1.4705882352941178,0.82
Tunisia,8,17,0.6666666666666666,1.4166666666666667,0.4705882352941176
Costa Rica,18,24,1.0588235294117647,1.411764705882353,0.75
Paraguay,30,38,1.1111111111111112,1.4074074074074074,0.7894736842105263
Ukraine,5,7,1.0,1.4,0.7142857142857143
Morocco,12,18,0.9230769230769231,1.3846153846153846,0.6666666666666667
Iraq,1,4,0.3333333333333333,1.3333333333333333,0.25
Trinidad and Tobago,0,4,0.0,1.3333333333333333,0.0
Czech Republic,3,4,1.0,1.3333333333333333,0.75
Ghana,13,16,1.0833333333333333,1.3333333333333333,0.8125
Japan,14,22,0.8235294117647058,1.2941176470588236,0.6363636363636364
Ecuador,10,11,1.0,1.1,0.9090909090909091
Israel,1,3,0.3333333333333333,1.0,0.3333333333333333
Norway,7,8,0.875,1.0,0.875
Angola,1,2,0.3333333333333333,0.6666666666666666,0.5
