,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,278,740,293,1982-06-24,1982,Spain,Oviedo,Carlos Tartiere,16000.0,Groups,Algeria,ALG,Chile,CHI,3,0,0,2,3,2,Algeria,3.0,0.0,0.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0
1,315,741,293,1982-06-16,1982,Spain,Gijón,El Molinon,42000.0,Groups,West Germany,FRG,Algeria,ALG,0,0,1,2,1,2,Algeria,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
2,330,739,293,1982-06-21,1982,Spain,Oviedo,Carlos Tartiere,22000.0,Groups,Algeria,ALG,Austria,AUT,0,0,0,2,0,2,Austria,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
3,366,379,308,1986-06-03,1986,Mexico,Guadalajara,Tres de Marzo,22000.0,Groups,Algeria,ALG,Northern Ireland,NIR,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
4,376,377,308,1986-06-06,1986,Mexico,Guadalajara,Jalisco,48000.0,Groups,Brazil,BRA,Algeria,ALG,0,0,1,0,1,0,Brazil,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
5,393,378,308,1986-06-12,1986,Mexico,Monterrey,Tecnologico,23980.0,Groups,Algeria,ALG,Spain,ESP,0,1,0,2,0,3,Spain,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
6,713,300061465,249722,2010-06-13,2010,South Africa,Polokwane,Peter Mokaba Stadium,30325.0,Groups,Algeria,ALG,Slovenia,SVN,0,0,0,1,0,1,Slovenia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
7,730,300061464,249722,2010-06-18,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Groups,England,ENG,Algeria,ALG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
8,745,300061461,249722,2010-06-23,2010,South Africa,Pretoria,Loftus Versfeld Stadium,35827.0,Groups,United States,USA,Algeria,ALG,0,0,1,0,1,0,United States,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
9,786,300186479,255931,2014-06-17,2014,Brazil,Belo Horizonte,Estadio Mineirao,56800.0,Groups,Belgium,BEL,Algeria,ALG,0,1,2,0,2,1,Belgium,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
10,802,300186495,255931,2014-06-22,2014,Brazil,Porto Alegre,Estadio Beira-Rio,42732.0,Groups,South Korea,KOR,Algeria,ALG,0,3,2,1,2,4,Algeria,3.0,0.0,1.0,2.0,4.0,2.0,Groups,Groups,1.0,1.0
11,819,300186506,255931,2014-06-26,2014,Brazil,Curitiba,Arena da Baixada,39311.0,Groups,Algeria,ALG,Russia,RUS,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
12,823,300186460,255951,2014-06-30,2014,Brazil,Porto Alegre,Estadio Beira-Rio,,Round of 16,Germany,GER,Algeria,ALG,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
13,841,300186460,255951,2014-06-30,2014,Brazil,Porto Alegre,Estadio Beira-Rio,,Round of 16,Germany,GER,Algeria,ALG,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
