Opponent,Wins,Matches,Win %
Netherlands,3,6,50.00%
England,2,5,40.00%
Italy,1,5,20.00%
Belgium,3,4,75.00%
Germany,0,4,0.00%
Nigeria,4,4,100.00%
Brazil,1,4,25.00%
West Germany,1,4,25.00%
Switzerland,3,3,100.00%
Mexico,3,3,100.00%
Bulgaria,2,3,66.67%
Hungary,2,3,66.67%
South Korea,2,2,100.00%
Poland,1,2,50.00%
Romania,0,2,0.00%
France,2,2,100.00%
Greece,2,2,100.00%
Uruguay,1,2,50.00%
Sweden,0,2,0.00%
Serbia,1,1,100.00%
Peru,1,1,100.00%
Soviet Union,1,1,100.00%
Spain,1,1,100.00%
United States,1,1,100.00%
Jamaica,1,1,100.00%
Northern Ireland,1,1,100.00%
Japan,1,1,100.00%
Bosnia and Herzegovina,1,1,100.00%
Iran,1,1,100.00%
Haiti,1,1,100.00%
El Salvador,1,1,100.00%
East Germany,0,1,0.00%
Czechoslovakia,0,1,0.00%
Croatia,1,1,100.00%
Cote d'Ivoire,1,1,100.00%
Chile,1,1,100.00%
Cameroon,0,1,0.00%
Yugoslavia,1,1,100.00%
