Opponent,Wins,Matches,Win %
Nigeria,4.0,4,100.0
Mexico,3.0,3,100.0
Switzerland,3.0,3,100.0
France,2.0,2,100.0
Greece,2.0,2,100.0
South Korea,2.0,2,100.0
Bosnia and Herzegovina,1.0,1,100.0
Chile,1.0,1,100.0
Cote d'Ivoire,1.0,1,100.0
Croatia,1.0,1,100.0
El Salvador,1.0,1,100.0
Haiti,1.0,1,100.0
Iran,1.0,1,100.0
Jamaica,1.0,1,100.0
Japan,1.0,1,100.0
Northern Ireland,1.0,1,100.0
Peru,1.0,1,100.0
Serbia,1.0,1,100.0
Soviet Union,1.0,1,100.0
Spain,1.0,1,100.0
United States,1.0,1,100.0
Yugoslavia,1.0,1,100.0
Hungary,2.5,3,83.33333333333334
Belgium,3.0,4,75.0
Bulgaria,2.0,3,66.66666666666666
Netherlands,3.5,6,58.333333333333336
Poland,1.0,2,50.0
Uruguay,1.0,2,50.0
East Germany,0.5,1,50.0
England,2.0,5,40.0
Italy,2.0,5,40.0
Brazil,1.5,4,37.5
West Germany,1.5,4,37.5
Romania,0.5,2,25.0
Sweden,0.5,2,25.0
Germany,0.0,4,0.0
Cameroon,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
