,Opponent,Result
1930-07-15,France,Win
1930-07-19,Mexico,Win
1930-07-22,Chile,Win
1930-07-26,United States,Win
1930-07-30,Uruguay,Loss
1934-05-27,Sweden,Loss
1958-06-08,West Germany,Loss
1958-06-11,Northern Ireland,Win
1958-06-15,Czechoslovakia,Loss
1962-05-30,Bulgaria,Win
1962-06-02,England,Loss
1962-06-06,Hungary,Loss
1966-07-13,Spain,Win
1966-07-16,West Germany,Loss
1966-07-19,Switzerland,Win
1966-07-23,England,Loss
1974-06-15,Poland,Loss
1974-06-19,Italy,Loss
1974-06-23,Haiti,Win
1974-06-26,Netherlands,Loss
1974-06-30,Brazil,Loss
1974-07-03,East Germany,Loss
1978-06-02,Hungary,Win
1978-06-06,France,Win
1978-06-10,Italy,Loss
1978-06-14,Poland,Win
1978-06-18,Brazil,Loss
1978-06-21,Peru,Win
1978-06-25,Netherlands,Win
1982-06-13,Belgium,Loss
1982-06-18,Hungary,Win
1982-06-23,El Salvador,Win
1982-06-29,Italy,Loss
1982-07-02,Brazil,Loss
1986-06-02,South Korea,Win
1986-06-05,Italy,Loss
1986-06-10,Bulgaria,Win
1986-06-16,Uruguay,Win
1986-06-22,England,Win
1986-06-25,Belgium,Win
1986-06-29,West Germany,Win
1990-06-08,Cameroon,Loss
1990-06-13,Soviet Union,Win
1990-06-18,Romania,Loss
1990-06-24,Brazil,Win
1990-06-30,Yugoslavia,Win
1990-07-03,Italy,Win
1990-07-08,West Germany,Loss
1994-06-21,Greece,Win
1994-06-25,Nigeria,Win
1994-06-30,Bulgaria,Loss
1994-07-03,Romania,Loss
1998-06-14,Japan,Win
1998-06-21,Jamaica,Win
1998-06-26,Croatia,Win
1998-06-30,England,Win
1998-07-04,Netherlands,Loss
2002-06-02,Nigeria,Win
2002-06-07,England,Loss
2002-06-12,Sweden,Loss
2006-06-10,Cote d'Ivoire,Win
2006-06-16,Serbia,Win
2006-06-21,Netherlands,Loss
2006-06-24,Mexico,Win
2006-06-30,Germany,Loss
2010-06-12,Nigeria,Win
2010-06-17,South Korea,Win
2010-06-22,Greece,Win
2010-06-27,Mexico,Win
2010-07-03,Germany,Loss
2014-06-15,Bosnia and Herzegovina,Win
2014-06-21,Iran,Win
2014-06-25,Nigeria,Win
2014-07-13,Germany,Loss
2014-07-09,Netherlands,Win
2014-07-05,Belgium,Win
2014-07-01,Switzerland,Win
2014-07-01,Switzerland,Win
2014-07-05,Belgium,Win
2014-07-09,Netherlands,Win
2014-07-13,Germany,Loss
