,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Australia_result_value
0,0,234,1955,262,1974-06-14,1974,Germany,Hamburg,Volksparkstadion,17000.0,Groups,East Germany,GDR,Australia,AUS,0,0,2,0,2,0,East Germany,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,240,1954,262,1974-06-18,1974,Germany,Hamburg,Volksparkstadion,53300.0,Groups,Australia,AUS,West Germany,FRG,0,2,0,1,0,3,West Germany,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,249,1953,262,1974-06-22,1974,Germany,Berlin,Olympiastadion,17400.0,Groups,Australia,AUS,Chile,CHI,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,3,653,97410012,97410100,2006-06-12,2006,Germany,Kaiserslautern,Fritz-Walter-Stadion,46000.0,Groups,Australia,AUS,Japan,JPN,0,1,3,0,3,1,Australia,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
4,4,672,97410027,97410100,2006-06-18,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Groups,Brazil,BRA,Australia,AUS,0,0,2,0,2,0,Brazil,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,687,97410044,97410100,2006-06-22,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Groups,Croatia,CRO,Australia,AUS,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
6,6,696,97410053,97410200,2006-06-26,2006,Germany,Kaiserslautern,Fritz-Walter-Stadion,46000.0,Round of 16,Italy,ITA,Australia,AUS,0,0,1,0,1,0,Italy,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,7,715,300111116,249722,2010-06-13,2010,South Africa,Durban,Durban Stadium,62660.0,Groups,Germany,GER,Australia,AUS,2,0,2,0,4,0,Germany,2.0,0.0,2.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
8,8,732,300061469,249722,2010-06-19,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,34812.0,Groups,Ghana,GHA,Australia,AUS,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,747,300061467,249722,2010-06-23,2010,South Africa,Nelspruit,Mbombela Stadium,37836.0,Groups,Australia,AUS,Serbia,SRB,0,0,2,1,2,1,Australia,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
10,10,775,300186473,255931,2014-06-13,2014,Brazil,Cuiabá,Arena Pantanal,40275.0,Groups,Chile,CHI,Australia,AUS,2,1,1,0,3,1,Chile,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
11,11,789,300186478,255931,2014-06-18,2014,Brazil,Curitiba,Estadio Beira-Rio,42877.0,Groups,Australia,AUS,Netherlands,NED,1,1,1,2,2,3,Netherlands,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
12,12,804,300186467,255931,2014-06-23,2014,Brazil,Curitiba,Arena da Baixada,39375.0,Groups,Australia,AUS,Spain,ESP,0,1,0,2,0,3,Spain,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
