,Opponent,Result
1934-05-27,France,Win
1934-05-31,Hungary,Win
1934-06-03,Italy,Loss
1934-06-07,Germany,Loss
1954-06-16,Scotland,Win
1954-06-19,Czechoslovakia,Win
1954-06-26,Switzerland,Win
1954-06-30,West Germany,Loss
1954-07-03,Uruguay,Win
1958-06-08,Brazil,Loss
1958-06-11,Soviet Union,Loss
1958-06-15,England,Loss
1978-06-03,Spain,Win
1978-06-07,Sweden,Win
1978-06-11,Brazil,Loss
1978-06-14,Netherlands,Loss
1978-06-18,Italy,Loss
1978-06-21,West Germany,Win
1982-06-17,Chile,Win
1982-06-21,Algeria,Win
1982-06-25,West Germany,Loss
1982-06-28,France,Loss
1982-07-01,Northern Ireland,Loss
1990-06-09,Italy,Loss
1990-06-15,Czechoslovakia,Loss
1990-06-19,United States,Win
1998-06-11,Cameroon,Loss
1998-06-17,Chile,Loss
1998-06-23,Italy,Loss
