,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,1,1090,201,1930-07-13,1930,Uruguay,Montevideo,Parque Central,18346.0,Groups,United States,USA,Belgium,BEL,2,0,1,0,3,0,United States,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
1,12,1089,201,1930-07-20,1930,Uruguay,Montevideo,Estadio Centenario,12000.0,Groups,Paraguay,PAR,Belgium,BEL,1,0,0,0,1,0,Paraguay,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
2,22,1108,204,1934-05-27,1934,Italy,Florence,Giovanni Berta,8000.0,Groups,Germany,GER,Belgium,BEL,1,2,4,0,5,2,Germany,1.0,2.0,4.0,0.0,5.0,2.0,Groups,Groups,1.0,1.0
3,37,1146,206,1938-06-05,1938,France,Colombes,Stade Olympique,30454.0,Groups,France,FRA,Belgium,BEL,2,1,1,0,3,1,France,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
4,81,1240,211,1954-06-17,1954,Switzerland,Basel,St. Jakob,14000.0,Groups,England,ENG,Belgium,BEL,0,0,4,4,4,4,Draw,,,,,,,Groups,Groups,1.0,1.0
5,90,1243,211,1954-06-20,1954,Switzerland,Lugano,Comunale di Cornaredo,24000.0,Groups,Italy,ITA,Belgium,BEL,1,0,3,1,4,1,Italy,1.0,0.0,3.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0
6,207,1747,250,1970-06-03,1970,Mexico,Mexico City,Estadio Azteca,92205.0,Groups,Belgium,BEL,El Salvador,SLV,1,0,2,0,3,0,Belgium,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
7,211,1753,250,1970-06-06,1970,Mexico,Mexico City,Estadio Azteca,95261.0,Groups,Soviet Union,URS,Belgium,BEL,1,0,3,1,4,1,Soviet Union,1.0,0.0,3.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0
8,223,1752,250,1970-06-11,1970,Mexico,Mexico City,Estadio Azteca,108192.0,Groups,Mexico,MEX,Belgium,BEL,1,0,0,0,1,0,Mexico,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
9,309,749,293,1982-06-13,1982,Spain,Barcelona,Camp Nou,95000.0,Groups,Argentina,ARG,Belgium,BEL,0,0,0,1,0,1,Belgium,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
10,325,774,293,1982-06-19,1982,Spain,Elche,Nuevo Estadio,15000.0,Groups,Belgium,BEL,El Salvador,SLV,1,0,0,0,1,0,Belgium,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
11,334,779,293,1982-06-22,1982,Spain,Elche,Nuevo Estadio,37000.0,Groups,Belgium,BEL,Hungary,HUN,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
12,345,782,294,1982-06-28,1982,Spain,Barcelona,Camp Nou,65000.0,Round of 16,Poland,POL,Belgium,BEL,2,0,1,0,3,0,Poland,2.0,0.0,1.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0
13,349,783,294,1982-07-01,1982,Spain,Barcelona,Camp Nou,45000.0,Round of 16,Belgium,BEL,Soviet Union,URS,0,0,0,1,0,1,Soviet Union,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
14,367,428,308,1986-06-03,1986,Mexico,Mexico City,Estadio Azteca,110000.0,Groups,Belgium,BEL,Mexico,MEX,1,2,0,0,1,2,Mexico,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
15,381,427,308,1986-06-08,1986,Mexico,Toluca,Bombonera - Estadio Nemesio Diez,20000.0,Groups,Iraq,IRQ,Belgium,BEL,0,2,1,0,1,2,Belgium,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
16,388,429,308,1986-06-11,1986,Mexico,Toluca,Bombonera - Estadio Nemesio Diez,16000.0,Groups,Paraguay,PAR,Belgium,BEL,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
17,396,432,309,1986-06-15,1986,Mexico,León,Nou Camp - Estadio León,32277.0,Round of 16,Soviet Union,URS,Belgium,BEL,0,0,3,4,3,4,Belgium,0.0,0.0,4.0,3.0,4.0,3.0,Round of 16,Round of 16,2.0,2.0
18,406,421,714,1986-06-22,1986,Mexico,Puebla,Cuauhtemoc,45000.0,Quarterfinals,Spain,ESP,Belgium,BEL,0,0,1,1,1,1,Belgium,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
19,409,388,3469,1986-06-25,1986,Mexico,Mexico City,Estadio Azteca,114500.0,Semifinals,Argentina,ARG,Belgium,BEL,0,0,2,0,2,0,Argentina,0.0,0.0,2.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0
20,410,422,3468,1986-06-28,1986,Mexico,Puebla,Cuauhtemoc,21000.0,Third place,France,FRA,Belgium,BEL,0,0,4,2,4,2,France,0.0,0.0,4.0,2.0,4.0,2.0,Third place,Third place,5.0,5.0
21,421,57,322,1990-06-12,1990,Italy,Verona,Marc Antonio Bentegodi,32790.0,Groups,Belgium,BEL,South Korea,KOR,0,0,2,0,2,0,Belgium,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
22,435,66,322,1990-06-17,1990,Italy,Verona,Marc Antonio Bentegodi,33759.0,Groups,Belgium,BEL,Uruguay,URU,2,0,1,1,3,1,Belgium,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0
23,445,56,322,1990-06-21,1990,Italy,Verona,Marc Antonio Bentegodi,35950.0,Groups,Belgium,BEL,Spain,ESP,1,2,0,0,1,2,Spain,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
24,455,55,323,1990-06-26,1990,Italy,Bologna,Renato Dall Ara,34520.0,Round of 16,England,ENG,Belgium,BEL,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
25,469,3054,337,1994-06-19,1994,United States,Orlando,Citrus Bowl,61219.0,Groups,Belgium,BEL,Morocco,MAR,1,0,0,0,1,0,Belgium,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
