Opponent,Wins,Matches,Win %
El Salvador,2.0,2,100.0
Russia,2.0,2,100.0
Algeria,1.0,1,100.0
Iraq,1.0,1,100.0
Morocco,1.0,1,100.0
Uruguay,1.0,1,100.0
South Korea,2.5,3,83.33333333333334
Netherlands,1.5,2,75.0
United States,2.0,3,66.66666666666666
Spain,1.0,2,50.0
Hungary,0.5,1,50.0
Japan,0.5,1,50.0
Tunisia,0.5,1,50.0
Soviet Union,1.0,3,33.33333333333333
Argentina,1.0,4,25.0
England,0.5,2,25.0
Paraguay,0.5,2,25.0
Mexico,0.5,3,16.666666666666664
France,0.0,2,0.0
Germany,0.0,2,0.0
Brazil,0.0,1,0.0
Italy,0.0,1,0.0
Poland,0.0,1,0.0
Saudi Arabia,0.0,1,0.0
