,Opponent,Result
1930-07-13,United States,Loss
1930-07-20,Paraguay,Loss
1934-05-27,Germany,Loss
1938-06-05,France,Loss
1954-06-17,England,Draw
1954-06-20,Italy,Loss
1970-06-03,El Salvador,Win
1970-06-06,Soviet Union,Loss
1970-06-11,Mexico,Loss
1982-06-13,Argentina,Win
1982-06-19,El Salvador,Win
1982-06-22,Hungary,Draw
1982-06-28,Poland,Loss
1982-07-01,Soviet Union,Loss
1986-06-03,Mexico,Loss
1986-06-08,Iraq,Win
1986-06-11,Paraguay,Draw
1986-06-15,Soviet Union,Win
1986-06-22,Spain,Win
1986-06-25,Argentina,Loss
1986-06-28,France,Loss
1990-06-12,South Korea,Win
1990-06-17,Uruguay,Win
1990-06-21,Spain,Loss
1990-06-26,England,Loss
1994-06-19,Morocco,Win
1994-06-25,Netherlands,Win
1994-06-29,Saudi Arabia,Loss
1994-07-02,Germany,Loss
1998-06-13,Netherlands,Draw
1998-06-20,Mexico,Draw
1998-06-25,South Korea,Draw
2002-06-04,Japan,Draw
2002-06-10,Tunisia,Draw
2002-06-14,Russia,Win
2002-06-17,Brazil,Loss
2014-06-17,Algeria,Win
2014-06-22,Russia,Win
2014-06-26,South Korea,Win
2014-07-05,Argentina,Loss
2014-07-01,United States,Win
2014-07-01,United States,Win
2014-07-05,Argentina,Loss
