,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Brazil_result_value
0,0,2,1093,201,1930-07-14,1930,Uruguay,Montevideo,Parque Central,24059.0,Groups,Yugoslavia,YUG,Brazil,BRA,2,0,0,1,2,1,Yugoslavia,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
1,1,11,1091,201,1930-07-20,1930,Uruguay,Montevideo,Estadio Centenario,25466.0,Groups,Brazil,BRA,Bolivia,BOL,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,23,1111,204,1934-05-27,1934,Italy,Genoa,Luigi Ferraris,21000.0,Groups,Spain,ESP,Brazil,BRA,3,0,0,1,3,1,Spain,3.0,0.0,0.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
3,3,40,1150,206,1938-06-05,1938,France,Strasbourg,Stade de la Meinau,13452.0,Groups,Brazil,BRA,Poland,POL,0,0,6,5,6,5,Brazil,0.0,0.0,6.0,5.0,6.0,5.0,Groups,Groups,1.0,1.0,1.0
4,4,44,1152,429,1938-06-12,1938,France,Bordeaux,Stade du Parc Lescure,22021.0,Quarterfinals,Brazil,BRA,Czechoslovakia,TCH,0,0,1,1,1,1,Draw,,,,,,,Quarterfinals,Quarterfinals,3.0,3.0,3.0
5,5,48,1153,429,1938-06-14,1938,France,Bordeaux,Stade du Parc Lescure,18141.0,Quarterfinals,Brazil,BRA,Czechoslovakia,TCH,0,1,2,0,2,1,Brazil,0.0,1.0,2.0,0.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
6,6,50,1149,3489,1938-06-16,1938,France,Marseille,Stade Vélodrome,33000.0,Semifinals,Italy,ITA,Brazil,BRA,0,0,2,1,2,1,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
7,7,51,1151,3488,1938-06-19,1938,France,Bordeaux,Stade du Parc Lescure,12000.0,Third place,Brazil,BRA,Sweden,SWE,1,2,3,0,4,2,Brazil,1.0,2.0,3.0,0.0,4.0,2.0,Third place,Third place,5.0,5.0,5.0
8,8,53,1187,208,1950-06-24,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,81649.0,Groups,Brazil,BRA,Mexico,MEX,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
9,9,58,1188,208,1950-06-28,1950,Brazil,São Paulo,Pacaembu,42032.0,Groups,Brazil,BRA,Switzerland,SUI,2,1,0,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
10,10,63,1191,208,1950-07-01,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,142429.0,Groups,Brazil,BRA,Yugoslavia,YUG,1,0,1,0,2,0,Brazil,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
11,11,70,1189,209,1950-07-09,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,138886.0,Finals,Brazil,BRA,Sweden,SWE,3,0,4,1,7,1,Brazil,3.0,0.0,4.0,1.0,7.0,1.0,Finals,Finals,6.0,6.0,6.0
12,12,71,1186,209,1950-07-13,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,152772.0,Finals,Brazil,BRA,Spain,ESP,3,0,3,1,6,1,Brazil,3.0,0.0,3.0,1.0,6.0,1.0,,,,,
13,13,74,1190,209,1950-07-16,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,173850.0,Finals,Uruguay,URU,Brazil,BRA,0,0,2,1,2,1,Uruguay,0.0,0.0,2.0,1.0,2.0,1.0,,,,,
14,14,77,1249,211,1954-06-16,1954,Switzerland,Geneva,Charmilles,13470.0,Groups,Brazil,BRA,Mexico,MEX,4,0,1,0,5,0,Brazil,4.0,0.0,1.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0,1.0
15,15,86,1252,211,1954-06-19,1954,Switzerland,Lausanne,La Pontaise,24637.0,Groups,Brazil,BRA,Yugoslavia,YUG,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
16,16,96,1248,212,1954-06-27,1954,Switzerland,Berne,Wankdorf Stadium,40000.0,Quarterfinals,Hungary,HUN,Brazil,BRA,2,1,2,1,4,2,Hungary,2.0,1.0,2.0,1.0,4.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
17,17,107,1326,220,1958-06-08,1958,Sweden,Uddevalla,Rimnersvallen,17788.0,Groups,Brazil,BRA,Austria,AUT,1,0,2,0,3,0,Brazil,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
18,18,109,1339,220,1958-06-11,1958,Sweden,Gothenburg,Nya Ullevi,40895.0,Groups,Brazil,BRA,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
19,19,118,1344,220,1958-06-15,1958,Sweden,Gothenburg,Nya Ullevi,50928.0,Groups,Brazil,BRA,Soviet Union,URS,1,0,1,0,2,0,Brazil,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
