Opponent,Wins,Matches,Win %
Chile,5.0,5,100.0
Austria,2.0,2,100.0
Cameroon,2.0,2,100.0
Colombia,2.0,2,100.0
Costa Rica,2.0,2,100.0
Croatia,2.0,2,100.0
Peru,2.0,2,100.0
Soviet Union,2.0,2,100.0
Turkey,2.0,2,100.0
Algeria,1.0,1,100.0
Australia,1.0,1,100.0
Belgium,1.0,1,100.0
Bolivia,1.0,1,100.0
Bulgaria,1.0,1,100.0
China PR,1.0,1,100.0
Cote d'Ivoire,1.0,1,100.0
Denmark,1.0,1,100.0
East Germany,1.0,1,100.0
Ghana,1.0,1,100.0
Japan,1.0,1,100.0
Morocco,1.0,1,100.0
New Zealand,1.0,1,100.0
North Korea,1.0,1,100.0
Northern Ireland,1.0,1,100.0
Romania,1.0,1,100.0
Russia,1.0,1,100.0
United States,1.0,1,100.0
Wales,1.0,1,100.0
Zaire,1.0,1,100.0
England,3.5,4,87.5
Mexico,3.5,4,87.5
Scotland,3.5,4,87.5
Sweden,6.0,7,85.71428571428571
Czechoslovakia,4.0,5,80.0
Poland,3.0,4,75.0
Spain,3.5,5,70.0
Argentina,2.5,4,62.5
Italy,3.0,5,60.0
Yugoslavia,2.0,4,50.0
Uruguay,1.0,2,50.0
Switzerland,0.5,1,50.0
Netherlands,2.0,6,33.33333333333333
Germany,1.0,3,33.33333333333333
France,1.0,4,25.0
Portugal,0.5,2,25.0
Hungary,0.0,2,0.0
Norway,0.0,1,0.0
