Opponent,Wins,Matches,Win %
Sweden,5,7,71.43%
Netherlands,2,6,33.33%
Czechoslovakia,3,5,60.00%
Italy,3,5,60.00%
Chile,5,5,100.00%
Spain,3,5,60.00%
Scotland,3,4,75.00%
Mexico,3,4,75.00%
Argentina,2,4,50.00%
France,1,4,25.00%
England,3,4,75.00%
Poland,3,4,75.00%
Yugoslavia,1,4,25.00%
Germany,1,3,33.33%
Hungary,0,2,0.00%
Costa Rica,2,2,100.00%
Peru,2,2,100.00%
Colombia,2,2,100.00%
Turkey,2,2,100.00%
Cameroon,2,2,100.00%
Soviet Union,2,2,100.00%
Croatia,2,2,100.00%
Portugal,0,2,0.00%
Uruguay,1,2,50.00%
Austria,2,2,100.00%
Russia,1,1,100.00%
Romania,1,1,100.00%
Switzerland,0,1,0.00%
Wales,1,1,100.00%
United States,1,1,100.00%
Algeria,1,1,100.00%
Japan,1,1,100.00%
Norway,0,1,0.00%
Northern Ireland,1,1,100.00%
North Korea,1,1,100.00%
New Zealand,1,1,100.00%
Morocco,1,1,100.00%
Ghana,1,1,100.00%
East Germany,1,1,100.00%
Denmark,1,1,100.00%
Cote d'Ivoire,1,1,100.00%
China PR,1,1,100.00%
Bulgaria,1,1,100.00%
Bolivia,1,1,100.00%
Belgium,1,1,100.00%
Australia,1,1,100.00%
Zaire,1,1,100.00%
