Opponent,Wins,Matches,Win %
Chile,5,5,100.0
Austria,2,2,100.0
Cameroon,2,2,100.0
Colombia,2,2,100.0
Costa Rica,2,2,100.0
Croatia,2,2,100.0
Peru,2,2,100.0
Soviet Union,2,2,100.0
Turkey,2,2,100.0
Algeria,1,1,100.0
Australia,1,1,100.0
Belgium,1,1,100.0
Bolivia,1,1,100.0
Bulgaria,1,1,100.0
China PR,1,1,100.0
Cote d'Ivoire,1,1,100.0
Denmark,1,1,100.0
East Germany,1,1,100.0
Ghana,1,1,100.0
Japan,1,1,100.0
Morocco,1,1,100.0
New Zealand,1,1,100.0
North Korea,1,1,100.0
Northern Ireland,1,1,100.0
Romania,1,1,100.0
Russia,1,1,100.0
United States,1,1,100.0
Wales,1,1,100.0
Zaire,1,1,100.0
England,3,4,75.0
Mexico,3,4,75.0
Poland,3,4,75.0
Scotland,3,4,75.0
Sweden,5,7,71.42857142857143
Czechoslovakia,3,5,60.0
Italy,3,5,60.0
Spain,3,5,60.0
Argentina,2,4,50.0
Uruguay,1,2,50.0
Netherlands,2,6,33.33333333333333
Germany,1,3,33.33333333333333
France,1,4,25.0
Yugoslavia,1,4,25.0
Hungary,0,2,0.0
Portugal,0,2,0.0
Norway,0,1,0.0
Switzerland,0,1,0.0
