,Opponent,Result
1930-07-14,Yugoslavia,Loss
1930-07-20,Bolivia,Win
1934-05-27,Spain,Loss
1938-06-05,Poland,Win
1938-06-12,Czechoslovakia,Draw
1938-06-14,Czechoslovakia,Win
1938-06-16,Italy,Loss
1938-06-19,Sweden,Win
1950-06-24,Mexico,Win
1950-06-28,Switzerland,Draw
1950-07-01,Yugoslavia,Win
1950-07-09,Sweden,Win
1950-07-13,Spain,Win
1950-07-16,Uruguay,Loss
1954-06-16,Mexico,Win
1954-06-19,Yugoslavia,Draw
1954-06-27,Hungary,Loss
1958-06-08,Austria,Win
1958-06-11,England,Draw
1958-06-15,Soviet Union,Win
1958-06-19,Wales,Win
1958-06-24,France,Win
1958-06-29,Sweden,Win
1962-05-30,Mexico,Win
1962-06-02,Czechoslovakia,Draw
1962-06-06,Spain,Win
1962-06-10,England,Win
1962-06-13,Chile,Win
1962-06-17,Czechoslovakia,Win
1966-07-12,Bulgaria,Win
1966-07-15,Hungary,Loss
1966-07-19,Portugal,Loss
1970-06-03,Czechoslovakia,Win
1970-06-07,England,Win
1970-06-10,Romania,Win
1970-06-14,Peru,Win
1970-06-17,Uruguay,Win
1970-06-21,Italy,Win
1974-06-13,Yugoslavia,Draw
1974-06-18,Scotland,Draw
1974-06-22,Zaire,Win
1974-06-26,East Germany,Win
1974-06-30,Argentina,Win
1974-07-03,Netherlands,Loss
1974-07-06,Poland,Loss
1978-06-03,Sweden,Draw
1978-06-07,Spain,Draw
1978-06-11,Austria,Win
1978-06-14,Peru,Win
1978-06-18,Argentina,Draw
1978-06-21,Poland,Win
1978-06-24,Italy,Win
1982-06-14,Soviet Union,Win
1982-06-18,Scotland,Win
1982-06-23,New Zealand,Win
1982-07-02,Argentina,Win
1982-07-05,Italy,Loss
1986-06-01,Spain,Win
1986-06-06,Algeria,Win
1986-06-12,Northern Ireland,Win
1986-06-16,Poland,Win
1986-06-21,France,Loss
1990-06-10,Sweden,Win
1990-06-16,Costa Rica,Win
1990-06-20,Scotland,Win
1990-06-24,Argentina,Loss
1994-06-20,Russia,Win
1994-06-24,Cameroon,Win
1994-06-28,Sweden,Draw
1994-07-04,United States,Win
1994-07-09,Netherlands,Win
1994-07-13,Sweden,Win
1994-07-17,Italy,Win
1998-06-10,Scotland,Win
1998-06-16,Morocco,Win
1998-06-23,Norway,Loss
1998-06-27,Chile,Win
1998-07-03,Denmark,Win
1998-07-07,Netherlands,Win
1998-07-12,France,Loss
2002-06-03,Turkey,Win
2002-06-08,China PR,Win
2002-06-13,Costa Rica,Win
2002-06-17,Belgium,Win
2002-06-21,England,Win
2002-06-26,Turkey,Win
2002-06-30,Germany,Win
2006-06-13,Croatia,Win
2006-06-18,Australia,Win
2006-06-22,Japan,Win
2006-06-27,Ghana,Win
2006-07-01,France,Loss
2010-06-15,North Korea,Win
2010-06-20,Cote d'Ivoire,Win
2010-06-25,Portugal,Draw
2010-06-28,Chile,Win
2010-07-02,Netherlands,Loss
2014-06-12,Croatia,Win
2014-06-17,Mexico,Draw
2014-06-23,Cameroon,Win
2014-06-28,Chile,Win
2014-07-04,Colombia,Win
2014-07-08,Germany,Loss
2014-07-12,Netherlands,Loss
2014-06-28,Chile,Win
2014-07-04,Colombia,Win
2014-07-08,Germany,Loss
2014-07-12,Netherlands,Loss
