,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Bulgaria_result_value
0,0,138,1447,231,1962-05-30,1962,Chile,Rancagua,Estadio El Teniente-Codelco,7134.0,Groups,Argentina,ARG,Bulgaria,BUL,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,150,1470,231,1962-06-03,1962,Chile,Rancagua,Estadio El Teniente-Codelco,7442.0,Groups,Hungary,HUN,Bulgaria,BUL,4,0,2,1,6,1,Hungary,4.0,0.0,2.0,1.0,6.0,1.0,Groups,Groups,1.0,1.0,1.0
2,2,158,1464,231,1962-06-07,1962,Chile,Rancagua,Estadio El Teniente-Codelco,5700.0,Groups,England,ENG,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,3,170,1596,238,1966-07-12,1966,England,Liverpool,Goodison Park,47308.0,Groups,Brazil,BRA,Bulgaria,BUL,1,0,1,0,2,0,Brazil,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
4,4,180,1602,238,1966-07-16,1966,England,Manchester,Old Trafford Stadium,25438.0,Groups,Portugal,POR,Bulgaria,BUL,2,0,1,0,3,0,Portugal,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,189,1599,238,1966-07-20,1966,England,Manchester,Old Trafford Stadium,24129.0,Groups,Hungary,HUN,Bulgaria,BUL,2,1,1,0,3,1,Hungary,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
6,6,202,1780,250,1970-06-02,1970,Mexico,León,Nou Camp - Estadio León,13765.0,Groups,Peru,PER,Bulgaria,BUL,0,1,3,1,3,2,Peru,0.0,1.0,3.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
7,7,213,1774,250,1970-06-07,1970,Mexico,León,Nou Camp - Estadio León,12710.0,Groups,West Germany,FRG,Bulgaria,BUL,2,1,3,1,5,2,West Germany,2.0,1.0,3.0,1.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
8,8,221,1779,250,1970-06-11,1970,Mexico,León,Nou Camp - Estadio León,12299.0,Groups,Bulgaria,BUL,Morocco,MAR,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,237,1995,262,1974-06-15,1974,Germany,Düsseldorf,Rheinstadion,23800.0,Groups,Sweden,SWE,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
10,10,245,1996,262,1974-06-19,1974,Germany,Hanover,Niedersachsenstadion,13400.0,Groups,Bulgaria,BUL,Uruguay,URU,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
11,11,252,1990,262,1974-06-23,1974,Germany,Dortmund,Westfalenstadion,53300.0,Groups,Bulgaria,BUL,Netherlands,NED,0,2,1,2,1,4,Netherlands,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
12,12,360,459,308,1986-05-31,1986,Mexico,Mexico City,Estadio Azteca,96000.0,Groups,Bulgaria,BUL,Italy,ITA,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
13,13,374,460,308,1986-06-05,1986,Mexico,Mexico City,Estadio Olímpico Universitario,45000.0,Groups,South Korea,KOR,Bulgaria,BUL,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
14,14,387,389,308,1986-06-10,1986,Mexico,Mexico City,Estadio Olímpico Universitario,65000.0,Groups,Argentina,ARG,Bulgaria,BUL,1,0,1,0,2,0,Argentina,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
