,Opponent,Result
1962-05-30,Argentina,Loss
1962-06-03,Hungary,Loss
1962-06-07,England,Draw
1966-07-12,Brazil,Loss
1966-07-16,Portugal,Loss
1966-07-20,Hungary,Loss
1970-06-02,Peru,Loss
1970-06-07,West Germany,Loss
1970-06-11,Morocco,Draw
1974-06-15,Sweden,Draw
1974-06-19,Uruguay,Draw
1974-06-23,Netherlands,Loss
1986-05-31,Italy,Draw
1986-06-05,South Korea,Draw
1986-06-10,Argentina,Loss
1986-06-15,Mexico,Loss
1994-06-21,Nigeria,Loss
1994-06-26,Greece,Win
1994-06-30,Argentina,Win
1994-07-05,Mexico,Win
1994-07-10,Germany,Win
1994-07-13,Italy,Loss
1994-07-16,Sweden,Loss
1998-06-12,Paraguay,Draw
1998-06-19,Nigeria,Loss
1998-06-24,Spain,Loss
