,Opponent,Result
1982-06-15,Peru,Loss
1982-06-19,Poland,Loss
1982-06-23,Italy,Loss
1990-06-08,Argentina,Win
1990-06-14,Romania,Win
1990-06-18,Soviet Union,Loss
1990-06-23,Colombia,Win
1990-07-01,England,Loss
1994-06-19,Sweden,Loss
1994-06-24,Brazil,Loss
1994-06-28,Russia,Loss
1998-06-11,Austria,Loss
1998-06-17,Italy,Loss
1998-06-23,Chile,Loss
2002-06-01,Republic of Ireland,Loss
2002-06-06,Saudi Arabia,Win
2002-06-11,Germany,Loss
2010-06-14,Japan,Loss
2010-06-19,Denmark,Loss
2010-06-24,Netherlands,Loss
2014-06-13,Mexico,Loss
2014-06-18,Croatia,Loss
2014-06-23,Brazil,Loss
