,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,5,1095,201,1930-07-16,1930,Uruguay,Montevideo,Parque Central,9249.0,Groups,Chile,CHI,Mexico,MEX,1,0,2,0,3,0,Chile,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
1,9,1094,201,1930-07-19,1930,Uruguay,Montevideo,Estadio Centenario,2000.0,Groups,Chile,CHI,France,FRA,0,0,1,0,1,0,Chile,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
2,14,1084,201,1930-07-22,1930,Uruguay,Montevideo,Estadio Centenario,41459.0,Groups,Argentina,ARG,Chile,CHI,2,1,1,0,3,1,Argentina,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
3,54,1192,208,1950-06-25,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,29703.0,Groups,England,ENG,Chile,CHI,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
4,60,1193,208,1950-06-29,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,19790.0,Groups,Spain,ESP,Chile,CHI,2,0,0,0,2,0,Spain,2.0,0.0,0.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
5,68,1194,208,1950-07-02,1950,Brazil,Recife,Ilha do Retiro,8501.0,Groups,Chile,CHI,United States,USA,2,0,3,2,5,2,Chile,2.0,0.0,3.0,2.0,5.0,2.0,Groups,Groups,1.0,1.0
6,139,1473,231,1962-05-30,1962,Chile,Santiago,Nacional,65006.0,Groups,Chile,CHI,Switzerland,SUI,1,1,2,0,3,1,Chile,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
7,147,1472,231,1962-06-02,1962,Chile,Santiago,Nacional,66057.0,Groups,Chile,CHI,Italy,ITA,0,0,2,0,2,0,Chile,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
8,155,1471,231,1962-06-06,1962,Chile,Santiago,Nacional,67224.0,Groups,West Germany,FRG,Chile,CHI,1,0,1,0,2,0,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
9,160,1474,232,1962-06-10,1962,Chile,Arica,Carlos Dittborn,17268.0,Quarterfinals,Chile,CHI,Soviet Union,URS,2,1,0,0,2,1,Chile,2.0,1.0,0.0,0.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
