,Opponent,Result
1930-07-16,Mexico,Win
1930-07-19,France,Win
1930-07-22,Argentina,Loss
1950-06-25,England,Loss
1950-06-29,Spain,Loss
1950-07-02,United States,Win
1962-05-30,Switzerland,Win
1962-06-02,Italy,Win
1962-06-06,West Germany,Loss
1962-06-10,Soviet Union,Win
1962-06-13,Brazil,Loss
1962-06-16,Yugoslavia,Win
1966-07-13,Italy,Loss
1966-07-15,North Korea,Loss
1966-07-20,Soviet Union,Loss
1974-06-14,West Germany,Loss
1974-06-18,East Germany,Loss
1974-06-22,Australia,Loss
1982-06-24,Algeria,Loss
1982-06-17,Austria,Loss
1982-06-20,West Germany,Loss
1998-06-11,Italy,Loss
1998-06-17,Austria,Loss
1998-06-23,Cameroon,Loss
1998-06-27,Brazil,Loss
2010-06-16,Honduras,Win
2010-06-21,Switzerland,Win
2010-06-25,Spain,Loss
2010-06-28,Brazil,Loss
2014-06-13,Australia,Win
2014-06-18,Spain,Win
2014-06-23,Netherlands,Loss
2014-06-28,Brazil,Loss
2014-06-28,Brazil,Loss
