,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,136,1479,231,1962-05-30,1962,Chile,Arica,Carlos Dittborn,7908.0,Groups,Uruguay,URU,Colombia,COL,0,1,2,0,2,1,Uruguay,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
1,148,1478,231,1962-06-03,1962,Chile,Arica,Carlos Dittborn,8040.0,Groups,Soviet Union,URS,Colombia,COL,3,1,1,3,4,4,Draw,,,,,,,Groups,Groups,1.0,1.0
2,156,1480,231,1962-06-07,1962,Chile,Arica,Carlos Dittborn,7167.0,Groups,Yugoslavia,YUG,Colombia,COL,2,0,3,0,5,0,Yugoslavia,2.0,0.0,3.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0
3,414,119,322,1990-06-09,1990,Italy,Bologna,Renato Dall Ara,30791.0,Groups,United Arab Emirates,UAE,Colombia,COL,0,0,0,2,0,2,Colombia,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
4,426,120,322,1990-06-14,1990,Italy,Bologna,Renato Dall Ara,32257.0,Groups,Yugoslavia,YUG,Colombia,COL,0,0,1,0,1,0,Yugoslavia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
5,438,114,322,1990-06-19,1990,Italy,Milan,Giuseppe Meazza,72510.0,Groups,West Germany,FRG,Colombia,COL,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
6,448,102,323,1990-06-23,1990,Italy,Naples,San Paolo,50026.0,Round of 16,Cameroon,CMR,Colombia,COL,0,0,2,1,2,1,Cameroon,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
7,468,3053,337,1994-06-18,1994,United States,Pasadena,Rose Bowl,91856.0,Groups,Colombia,COL,Romania,ROU,1,2,0,1,1,3,Romania,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
8,478,3063,337,1994-06-22,1994,United States,Pasadena,Rose Bowl,93869.0,Groups,United States,USA,Colombia,COL,1,0,1,1,2,1,United States,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
9,489,3074,337,1994-06-26,1994,United States,Palo Alto,Stanford Stadium,83401.0,Groups,Switzerland,SUI,Colombia,COL,0,1,0,1,0,2,Colombia,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
10,530,8739,1014,1998-06-15,1998,France,Lyon,Stade de Gerland,39100.0,Groups,Romania,ROU,Colombia,COL,1,0,0,0,1,0,Romania,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
11,546,8755,1014,1998-06-22,1998,France,Montpellier,La Mosson,29800.0,Groups,Colombia,COL,Tunisia,TUN,0,0,1,0,1,0,Colombia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
12,563,8770,1014,1998-06-26,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Colombia,COL,England,ENG,0,2,0,0,0,2,England,2.0,0.0,0.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
13,776,300186471,255931,2014-06-14,2014,Brazil,Belo Horizonte,Estadio Mineirao,57174.0,Groups,Colombia,COL,Greece,GRE,1,0,2,0,3,0,Colombia,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
14,792,300186468,255931,2014-06-19,2014,Brazil,Brasília,Estadio Nacional,68748.0,Groups,Colombia,COL,Cote d'Ivoire,CIV,0,0,2,1,2,1,Colombia,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
15,810,300186457,255931,2014-06-24,2014,Brazil,Cuiabá,Arena Pantanal,40340.0,Groups,Japan,JPN,Colombia,COL,1,1,0,3,1,4,Colombia,1.0,1.0,3.0,0.0,4.0,1.0,Groups,Groups,1.0,1.0
16,821,300186491,255951,2014-06-28,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73804.0,Round of 16,Colombia,COL,Uruguay,URU,1,0,1,0,2,0,Colombia,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0
17,824,300186461,255953,2014-07-04,2014,Brazil,Fortaleza,Estadio Castelao,60342.0,Quarterfinals,Brazil,BRA,Colombia,COL,1,0,1,1,2,1,Brazil,1.0,0.0,1.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
18,837,300186491,255951,2014-06-28,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73804.0,Round of 16,Colombia,COL,Uruguay,URU,1,0,1,0,2,0,Colombia,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0
19,845,300186461,255953,2014-07-04,2014,Brazil,Fortaleza,Estadio Castelao,60342.0,Quarterfinals,Brazil,BRA,Colombia,COL,1,0,1,1,2,1,Brazil,1.0,0.0,1.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
