,Opponent,Result
1962-05-30,Uruguay,Loss
1962-06-03,Soviet Union,Draw
1962-06-07,Yugoslavia,Loss
1990-06-09,United Arab Emirates,Win
1990-06-14,Yugoslavia,Loss
1990-06-19,West Germany,Draw
1990-06-23,Cameroon,Loss
1994-06-18,Romania,Loss
1994-06-22,United States,Loss
1994-06-26,Switzerland,Win
1998-06-15,Romania,Loss
1998-06-22,Tunisia,Win
1998-06-26,England,Loss
2014-06-14,Greece,Win
2014-06-19,Cote d'Ivoire,Win
2014-06-24,Japan,Win
2014-06-28,Uruguay,Win
2014-07-04,Brazil,Loss
2014-06-28,Uruguay,Win
2014-07-04,Brazil,Loss
