,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,528,8736,1014,1998-06-14,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Jamaica,JAM,Croatia,CRO,1,1,0,2,1,3,Croatia,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
1,540,8751,1014,1998-06-20,1998,France,Nantes,La Beaujoire,35500.0,Groups,Japan,JPN,Croatia,CRO,0,0,0,1,0,1,Croatia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
2,561,8772,1014,1998-06-26,1998,France,Bordeaux,Stade du Parc Lescure,31800.0,Groups,Argentina,ARG,Croatia,CRO,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
3,570,8780,1024,1998-06-30,1998,France,Bordeaux,Stade du Parc Lescure,31800.0,Round of 16,Romania,ROU,Croatia,CRO,0,1,0,0,0,1,Croatia,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
4,575,8783,1025,1998-07-04,1998,France,Lyon,Stade de Gerland,39100.0,Quarterfinals,Germany,GER,Croatia,CRO,0,1,0,2,0,3,Croatia,1.0,0.0,2.0,0.0,3.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0
5,577,8786,1026,1998-07-08,1998,France,Saint-Denis,Stade de France,76000.0,Semifinals,France,FRA,Croatia,CRO,0,0,2,1,2,1,France,0.0,0.0,2.0,1.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0
6,578,8787,1028,1998-07-11,1998,France,Paris,Parc des Princes,45500.0,Third place,Netherlands,NED,Croatia,CRO,1,2,0,0,1,2,Croatia,2.0,1.0,0.0,0.0,2.0,1.0,Third place,Third place,5.0,5.0
7,590,43950009,43950100,2002-06-03,2002,Japan,Niigata,Niigata Stadium Big Swan,32239.0,Groups,Croatia,CRO,Mexico,MEX,0,0,0,1,0,1,Mexico,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
8,605,43950025,43950100,2002-06-08,2002,Japan,Kashima,Kashima Stadium,36472.0,Groups,Italy,ITA,Croatia,CRO,0,0,1,2,1,2,Croatia,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
9,623,43950044,43950100,2002-06-13,2002,Japan,Yokohama,International Stadium Yokohama,65862.0,Groups,Ecuador,ECU,Croatia,CRO,0,0,1,0,1,0,Ecuador,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
10,658,97410011,97410100,2006-06-13,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Brazil,BRA,Croatia,CRO,1,0,0,0,1,0,Brazil,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
11,671,97410028,97410100,2006-06-18,2006,Germany,Nuremberg,Franken-Stadion,41000.0,Groups,Japan,JPN,Croatia,CRO,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
12,687,97410044,97410100,2006-06-22,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Groups,Croatia,CRO,Australia,AUS,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
13,772,300186456,255931,2014-06-12,2014,Brazil,São Paulo,Arena de Sao Paulo,62103.0,Groups,Brazil,BRA,Croatia,CRO,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
14,791,300186453,255931,2014-06-18,2014,Brazil,Manaus,Arena Amazonia,39982.0,Groups,Cameroon,CMR,Croatia,CRO,0,1,0,3,0,4,Croatia,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0
15,807,300186452,255931,2014-06-23,2014,Brazil,Recife,Arena Pernambuco,41212.0,Groups,Croatia,CRO,Mexico,MEX,0,0,1,3,1,3,Mexico,0.0,0.0,3.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0
