,Opponent,Result
1934-05-27,Romania,Win
1934-05-31,Switzerland,Win
1934-06-03,Germany,Win
1934-06-10,Italy,Loss
1938-06-05,Netherlands,Win
1938-06-12,Brazil,Draw
1938-06-14,Brazil,Loss
1954-06-16,Uruguay,Loss
1954-06-19,Austria,Loss
1958-06-08,Northern Ireland,Loss
1958-06-11,West Germany,Draw
1958-06-15,Argentina,Win
1958-06-17,Northern Ireland,Loss
1962-05-31,Spain,Win
1962-06-02,Brazil,Draw
1962-06-07,Mexico,Loss
1962-06-10,Hungary,Win
1962-06-13,Yugoslavia,Win
1962-06-17,Brazil,Loss
1970-06-03,Brazil,Loss
1970-06-06,Romania,Loss
1970-06-11,England,Loss
1982-06-17,Kuwait,Draw
1982-06-20,England,Loss
1982-06-24,France,Draw
1990-06-10,United States,Win
1990-06-15,Austria,Win
1990-06-19,Italy,Loss
1990-06-23,Costa Rica,Win
1990-07-01,West Germany,Loss
