,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Denmark_result_value
0,0,370,517,308,1986-06-04,1986,Mexico,Nezahualcóyotl,Neza,18000.0,Groups,Scotland,SCO,Denmark,DEN,0,0,0,1,0,1,Denmark,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,382,522,308,1986-06-08,1986,Mexico,Nezahualcóyotl,Neza,26500.0,Groups,Denmark,DEN,Uruguay,URU,2,1,4,0,6,1,Denmark,2.0,1.0,4.0,0.0,6.0,1.0,Groups,Groups,1.0,1.0,1.0
2,2,395,512,308,1986-06-13,1986,Mexico,Querétaro,Estadio Corregidora,36000.0,Groups,Denmark,DEN,West Germany,FRG,1,0,1,0,2,0,Denmark,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
3,3,403,511,309,1986-06-18,1986,Mexico,Querétaro,Estadio Corregidora,38500.0,Round of 16,Denmark,DEN,Spain,ESP,1,1,0,4,1,5,Spain,1.0,1.0,4.0,0.0,5.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
4,4,521,8729,1014,1998-06-12,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Saudi Arabia,KSA,Denmark,DEN,0,0,0,1,0,1,Denmark,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,536,8746,1014,1998-06-18,1998,France,Toulouse,Stade Municipal,33500.0,Groups,South Africa,RSA,Denmark,DEN,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
6,6,552,8762,1014,1998-06-24,1998,France,Lyon,Stade de Gerland,39100.0,Groups,France,FRA,Denmark,DEN,1,1,1,0,2,1,France,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
7,7,567,8775,1024,1998-06-28,1998,France,Saint-Denis,Stade de France,77000.0,Round of 16,Nigeria,NGA,Denmark,DEN,0,2,1,2,1,4,Denmark,2.0,0.0,2.0,1.0,4.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
8,8,573,8782,1025,1998-07-03,1998,France,Nantes,La Beaujoire,35500.0,Quarterfinals,Brazil,BRA,Denmark,DEN,2,1,1,1,3,2,Brazil,2.0,1.0,1.0,1.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
9,9,581,43950003,43950100,2002-06-01,2002,South Korea,Ulsan,Munsu Football Stadium,30157.0,Groups,Uruguay,URU,Denmark,DEN,0,1,1,1,1,2,Denmark,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
10,10,597,43950020,43950100,2002-06-06,2002,South Korea,Daegu,Daegu World Cup Stadium,43500.0,Groups,Denmark,DEN,Senegal,SEN,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
11,11,612,43950033,43950100,2002-06-11,2002,South Korea,Incheon,Incheon Football Stadium,48100.0,Groups,Denmark,DEN,France,FRA,1,0,1,0,2,0,Denmark,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
12,12,629,43950050,43950200,2002-06-15,2002,Japan,Niigata,Niigata Stadium Big Swan,40582.0,Round of 16,Denmark,DEN,England,ENG,0,3,0,0,0,3,England,3.0,0.0,0.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
13,13,716,300061478,249722,2010-06-14,2010,South Africa,Johannesburg,Soccer City Stadium,83465.0,Groups,Netherlands,NED,Denmark,DEN,0,0,2,0,2,0,Netherlands,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
14,14,733,300061475,249722,2010-06-19,2010,South Africa,Pretoria,Loftus Versfeld Stadium,38074.0,Groups,Cameroon,CMR,Denmark,DEN,1,1,0,1,1,2,Denmark,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
15,15,750,300061474,249722,2010-06-24,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,27967.0,Groups,Denmark,DEN,Japan,JPN,0,2,1,1,1,3,Japan,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
