,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,589,43950011,43950100,2002-06-03,2002,Japan,Sapporo,Sapporo Dome,31081.0,Groups,Italy,ITA,Ecuador,ECU,2,0,0,0,2,0,Italy,2.0,0.0,0.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
1,608,43950027,43950100,2002-06-09,2002,Japan,Rifu,Miyagi Stadium,45610.0,Groups,Mexico,MEX,Ecuador,ECU,1,1,1,0,2,1,Mexico,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
2,623,43950044,43950100,2002-06-13,2002,Japan,Yokohama,International Stadium Yokohama,65862.0,Groups,Ecuador,ECU,Croatia,CRO,0,0,1,0,1,0,Ecuador,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
3,646,97410002,97410100,2006-06-09,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,Poland,POL,Ecuador,ECU,0,1,0,1,0,2,Ecuador,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
4,662,97410018,97410100,2006-06-15,2006,Germany,Hamburg,"FIFA World Cup Stadium, Hamburg",50000.0,Groups,Ecuador,ECU,Costa Rica,CRC,1,0,2,0,3,0,Ecuador,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
5,676,97410033,97410100,2006-06-20,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Ecuador,ECU,Germany,GER,0,2,0,1,0,3,Germany,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
6,694,97410051,97410200,2006-06-25,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Round of 16,England,ENG,Ecuador,ECU,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
7,780,300186494,255931,2014-06-15,2014,Brazil,Brasília,Estadio Nacional,68351.0,Groups,Switzerland,SUI,Ecuador,ECU,0,1,2,0,2,1,Switzerland,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
8,797,300186463,255931,2014-06-20,2014,Brazil,Curitiba,Arena da Baixada,39224.0,Groups,Honduras,HON,Ecuador,ECU,1,1,0,1,1,2,Ecuador,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
9,815,300186515,255931,2014-06-25,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73749.0,Groups,Ecuador,ECU,France,FRA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
