,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,England_result_value
0,0,54,1192,208,1950-06-25,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,29703.0,Groups,England,ENG,Chile,CHI,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,62,1202,208,1950-06-29,1950,Brazil,Belo Horizonte,Independencia,10151.0,Groups,United States,USA,England,ENG,1,0,0,0,1,0,United States,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,64,1199,208,1950-07-02,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,74462.0,Groups,Spain,ESP,England,ENG,0,0,1,0,1,0,Spain,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
3,3,81,1240,211,1954-06-17,1954,Switzerland,Basel,St. Jakob,14000.0,Groups,England,ENG,Belgium,BEL,0,0,4,4,4,4,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
4,4,89,1263,211,1954-06-20,1954,Switzerland,Berne,Wankdorf Stadium,43500.0,Groups,England,ENG,Switzerland,SUI,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,93,1264,212,1954-06-26,1954,Switzerland,Basel,St. Jakob,28000.0,Quarterfinals,Uruguay,URU,England,ENG,2,1,2,1,4,2,Uruguay,2.0,1.0,2.0,1.0,4.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
6,6,102,1372,220,1958-06-08,1958,Sweden,Gothenburg,Nya Ullevi,49348.0,Groups,Soviet Union,URS,England,ENG,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
7,7,109,1339,220,1958-06-11,1958,Sweden,Gothenburg,Nya Ullevi,40895.0,Groups,Brazil,BRA,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
8,8,123,1327,220,1958-06-15,1958,Sweden,Borås,Ryavallen,15872.0,Groups,England,ENG,Austria,AUT,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,125,1373,220,1958-06-17,1958,Sweden,Gothenburg,Nya Ullevi,23182.0,Groups,Soviet Union,URS,England,ENG,0,0,1,0,1,0,Soviet Union,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
10,10,142,1490,231,1962-05-31,1962,Chile,Rancagua,Estadio El Teniente-Codelco,7938.0,Groups,Hungary,HUN,England,ENG,1,0,1,1,2,1,Hungary,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
11,11,146,1450,231,1962-06-02,1962,Chile,Rancagua,Estadio El Teniente-Codelco,9794.0,Groups,England,ENG,Argentina,ARG,2,0,1,1,3,1,England,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
12,12,158,1464,231,1962-06-07,1962,Chile,Rancagua,Estadio El Teniente-Codelco,5700.0,Groups,England,ENG,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
13,13,161,1459,232,1962-06-10,1962,Chile,Viña del Mar,Estadio Sausalito,17736.0,Quarterfinals,Brazil,BRA,England,ENG,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
14,14,168,1636,238,1966-07-11,1966,England,London,Wembley Stadium,87148.0,Groups,England,ENG,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
15,15,183,1634,238,1966-07-16,1966,England,London,Wembley Stadium,92570.0,Groups,England,ENG,Mexico,MEX,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
16,16,188,1632,238,1966-07-20,1966,England,London,Wembley Stadium,98270.0,Groups,England,ENG,France,FRA,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,192,1577,239,1966-07-23,1966,England,London,Wembley Stadium,90584.0,Quarterfinals,England,ENG,Argentina,ARG,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
