Opponent,Wins,Matches,Win %
Argentina,3.0,5,60.00%
West Germany,1.5,4,37.50%
Brazil,0.5,4,12.50%
Uruguay,0.5,3,16.67%
Portugal,1.0,3,33.33%
Czechoslovakia,2.0,2,100.00%
Italy,0.0,2,0.00%
Romania,1.0,2,50.00%
France,2.0,2,100.00%
Soviet Union,0.5,2,25.00%
Spain,0.5,2,25.00%
Sweden,1.0,2,50.00%
United States,0.5,2,25.00%
Belgium,1.5,2,75.00%
Paraguay,2.0,2,100.00%
Nigeria,0.5,1,50.00%
Slovenia,1.0,1,100.00%
Switzerland,1.0,1,100.00%
Trinidad and Tobago,1.0,1,100.00%
Republic of Ireland,0.5,1,50.00%
Tunisia,1.0,1,100.00%
Poland,1.0,1,100.00%
Algeria,0.5,1,50.00%
Netherlands,0.5,1,50.00%
Morocco,0.5,1,50.00%
Kuwait,1.0,1,100.00%
Hungary,0.0,1,0.00%
Germany,0.0,1,0.00%
Egypt,1.0,1,100.00%
Ecuador,1.0,1,100.00%
Denmark,1.0,1,100.00%
Costa Rica,0.5,1,50.00%
Colombia,1.0,1,100.00%
Chile,1.0,1,100.00%
Cameroon,1.0,1,100.00%
Bulgaria,0.5,1,50.00%
Austria,0.5,1,50.00%
Mexico,1.0,1,100.00%
