,Opponent,Result
1950-06-25,Chile,Win
1950-06-29,United States,Loss
1950-07-02,Spain,Loss
1954-06-17,Belgium,Draw
1954-06-20,Switzerland,Win
1954-06-26,Uruguay,Loss
1958-06-08,Soviet Union,Draw
1958-06-11,Brazil,Draw
1958-06-15,Austria,Draw
1958-06-17,Soviet Union,Loss
1962-05-31,Hungary,Loss
1962-06-02,Argentina,Win
1962-06-07,Bulgaria,Draw
1962-06-10,Brazil,Loss
1966-07-11,Uruguay,Draw
1966-07-16,Mexico,Win
1966-07-20,France,Win
1966-07-23,Argentina,Win
1966-07-26,Portugal,Win
1966-07-30,West Germany,Win
1970-06-02,Romania,Win
1970-06-07,Brazil,Loss
1970-06-11,Czechoslovakia,Win
1970-06-14,West Germany,Loss
1982-06-16,France,Win
1982-06-20,Czechoslovakia,Win
1982-06-25,Kuwait,Win
1982-06-29,West Germany,Draw
1982-07-05,Spain,Draw
1986-06-03,Portugal,Loss
1986-06-06,Morocco,Draw
1986-06-11,Poland,Win
1986-06-18,Paraguay,Win
1986-06-22,Argentina,Loss
1990-06-11,Republic of Ireland,Draw
1990-06-16,Netherlands,Draw
1990-06-21,Egypt,Win
1990-06-26,Belgium,Win
1990-07-01,Cameroon,Win
1990-07-04,West Germany,Loss
1990-07-07,Italy,Loss
1998-06-15,Tunisia,Win
1998-06-22,Romania,Loss
1998-06-26,Colombia,Win
1998-06-30,Argentina,Loss
2002-06-02,Sweden,Draw
2002-06-07,Argentina,Win
2002-06-12,Nigeria,Draw
2002-06-15,Denmark,Win
2002-06-21,Brazil,Loss
2006-06-10,Paraguay,Win
2006-06-15,Trinidad and Tobago,Win
2006-06-20,Sweden,Draw
2006-06-25,Ecuador,Win
2006-07-01,Portugal,Loss
2010-06-12,United States,Draw
2010-06-18,Algeria,Draw
2010-06-23,Slovenia,Win
2010-06-27,Germany,Loss
2014-06-14,Italy,Loss
2014-06-19,Uruguay,Loss
2014-06-24,Costa Rica,Draw
