Opponent,Wins,Matches,Win %
Belgium,2.0,2,100.0
Hungary,2.0,2,100.0
Nigeria,2.0,2,100.0
Northern Ireland,2.0,2,100.0
Paraguay,2.0,2,100.0
Canada,1.0,1,100.0
Croatia,1.0,1,100.0
Honduras,1.0,1,100.0
Kuwait,1.0,1,100.0
Portugal,1.0,1,100.0
Saudi Arabia,1.0,1,100.0
Scotland,1.0,1,100.0
Spain,1.0,1,100.0
Togo,1.0,1,100.0
Brazil,3.0,4,75.0
Switzerland,1.5,2,75.0
Mexico,2.5,4,62.5
Austria,1.0,2,50.0
Denmark,1.0,2,50.0
South Africa,1.0,2,50.0
Czechoslovakia,0.5,1,50.0
Ecuador,0.5,1,50.0
South Korea,0.5,1,50.0
Soviet Union,0.5,1,50.0
Italy,2.0,5,40.0
Uruguay,1.0,3,33.33333333333333
West Germany,1.0,3,33.33333333333333
Argentina,0.0,2,0.0
England,0.0,2,0.0
Germany,0.0,2,0.0
Yugoslavia,0.0,2,0.0
Chile,0.0,1,0.0
Poland,0.0,1,0.0
Senegal,0.0,1,0.0
