Opponent,Wins,Matches,Win %
Belgium,2,2,100.0
Hungary,2,2,100.0
Nigeria,2,2,100.0
Northern Ireland,2,2,100.0
Paraguay,2,2,100.0
Canada,1,1,100.0
Croatia,1,1,100.0
Honduras,1,1,100.0
Kuwait,1,1,100.0
Portugal,1,1,100.0
Saudi Arabia,1,1,100.0
Scotland,1,1,100.0
Spain,1,1,100.0
Togo,1,1,100.0
Brazil,3,4,75.0
Mexico,2,4,50.0
Austria,1,2,50.0
Denmark,1,2,50.0
South Africa,1,2,50.0
Switzerland,1,2,50.0
Italy,2,5,40.0
West Germany,1,3,33.33333333333333
Uruguay,0,3,0.0
Argentina,0,2,0.0
England,0,2,0.0
Germany,0,2,0.0
Yugoslavia,0,2,0.0
Chile,0,1,0.0
Czechoslovakia,0,1,0.0
Ecuador,0,1,0.0
Poland,0,1,0.0
Senegal,0,1,0.0
South Korea,0,1,0.0
Soviet Union,0,1,0.0
