,Opponent,Result
1930-07-13,Mexico,Win
1930-07-15,Argentina,Loss
1930-07-19,Chile,Loss
1934-05-27,Austria,Loss
1938-06-05,Belgium,Win
1938-06-12,Italy,Loss
1954-06-16,Yugoslavia,Loss
1954-06-19,Mexico,Win
1958-06-08,Paraguay,Win
1958-06-11,Yugoslavia,Loss
1958-06-15,Scotland,Win
1958-06-19,Northern Ireland,Win
1958-06-24,Brazil,Loss
1958-06-28,West Germany,Win
1966-07-13,Mexico,Loss
1966-07-15,Uruguay,Loss
1966-07-20,England,Loss
1978-06-02,Italy,Loss
1978-06-06,Argentina,Loss
1978-06-10,Hungary,Win
1982-06-16,England,Loss
1982-06-21,Kuwait,Win
1982-06-24,Czechoslovakia,Loss
1982-06-28,Austria,Win
1982-07-04,Northern Ireland,Win
1982-07-08,West Germany,Loss
1982-07-10,Poland,Loss
1986-06-01,Canada,Win
1986-06-05,Soviet Union,Loss
1986-06-09,Hungary,Win
1986-06-17,Italy,Win
1986-06-21,Brazil,Win
1986-06-25,West Germany,Loss
1986-06-28,Belgium,Win
1998-06-12,South Africa,Win
1998-06-18,Saudi Arabia,Win
1998-06-24,Denmark,Win
1998-06-28,Paraguay,Win
1998-07-03,Italy,Win
1998-07-08,Croatia,Win
1998-07-12,Brazil,Win
2002-05-31,Senegal,Loss
2002-06-06,Uruguay,Loss
2002-06-11,Denmark,Loss
2006-06-13,Switzerland,Loss
2006-06-18,South Korea,Loss
2006-06-23,Togo,Win
2006-06-27,Spain,Win
2006-07-01,Brazil,Win
2006-07-05,Portugal,Win
2006-07-09,Italy,Loss
2010-06-11,Uruguay,Loss
2010-06-17,Mexico,Loss
2010-06-22,South Africa,Loss
2014-06-15,Honduras,Win
2014-06-20,Switzerland,Win
2014-06-25,Ecuador,Loss
2014-06-30,Nigeria,Win
2014-07-04,Germany,Loss
2014-06-30,Nigeria,Win
2014-07-04,Germany,Loss
