,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Germany_result_value
0,0,22,1108,204,1934-05-27,1934,Italy,Florence,Giovanni Berta,8000.0,Groups,Germany,GER,Belgium,BEL,1,2,4,0,5,2,Germany,1.0,2.0,4.0,0.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
1,1,27,1129,418,1934-05-31,1934,Italy,Milan,San Siro,3000.0,Quarterfinals,Germany,GER,Sweden,SWE,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
2,2,32,1130,3492,1934-06-03,1934,Italy,Rome,Nazionale PNF,15000.0,Semifinals,Czechoslovakia,TCH,Germany,GER,1,0,2,1,3,1,Czechoslovakia,1.0,0.0,2.0,1.0,3.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
3,3,33,1105,3491,1934-06-07,1934,Italy,Naples,Giorgio Ascarelli,7000.0,Third place,Germany,GER,Austria,AUT,3,1,0,1,3,2,Germany,3.0,1.0,0.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
4,4,35,1165,206,1938-06-04,1938,France,Paris,Parc des Princes,27152.0,Groups,Switzerland,SUI,Germany,GER,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
5,5,43,1166,206,1938-06-09,1938,France,Paris,Parc des Princes,20025.0,Groups,Switzerland,SUI,Germany,GER,1,2,3,0,4,2,Switzerland,1.0,2.0,3.0,0.0,4.0,2.0,Groups,Groups,1.0,1.0,1.0
6,6,465,3049,337,1994-06-17,1994,United States,Chicago,Soldier Field,63117.0,Groups,Germany,GER,Bolivia,BOL,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
7,7,476,3060,337,1994-06-21,1994,United States,Chicago,Soldier Field,63113.0,Groups,Germany,GER,Spain,ESP,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
8,8,490,3076,337,1994-06-27,1994,United States,Dallas,Cotton Bowl,63998.0,Groups,Germany,GER,South Korea,KOR,3,0,0,2,3,2,Germany,3.0,0.0,0.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
9,9,500,3085,338,1994-07-02,1994,United States,Chicago,Soldier Field,60246.0,Round of 16,Germany,GER,Belgium,BEL,3,1,0,1,3,2,Germany,3.0,1.0,0.0,1.0,3.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
10,10,510,3096,796,1994-07-10,1994,United States,East Rutherford,Giants Stadium,72000.0,Quarterfinals,Bulgaria,BUL,Germany,GER,0,0,2,1,2,1,Bulgaria,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
11,11,531,8738,1014,1998-06-15,1998,France,Paris,Parc des Princes,45500.0,Groups,Germany,GER,United States,USA,1,0,1,0,2,0,Germany,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
12,12,543,8753,1014,1998-06-21,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Germany,GER,Yugoslavia,YUG,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
13,13,558,8767,1014,1998-06-25,1998,France,Montpellier,La Mosson,29800.0,Groups,Germany,GER,Iran,IRN,0,0,2,0,2,0,Germany,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
14,14,568,8777,1024,1998-06-29,1998,France,Montpellier,La Mosson,29800.0,Round of 16,Germany,GER,Mexico,MEX,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
15,15,575,8783,1025,1998-07-04,1998,France,Lyon,Stade de Gerland,39100.0,Quarterfinals,Germany,GER,Croatia,CRO,0,1,0,2,0,3,Croatia,1.0,0.0,2.0,0.0,3.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
16,16,583,43950004,43950100,2002-06-01,2002,Japan,Sapporo,Sapporo Dome,32218.0,Groups,Germany,GER,Saudi Arabia,KSA,4,0,4,0,8,0,Germany,4.0,0.0,4.0,0.0,8.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,596,43950017,43950100,2002-06-05,2002,Japan,Kashima,Kashima Stadium,35854.0,Groups,Germany,GER,Republic of Ireland,IRL,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
18,18,616,43950035,43950100,2002-06-11,2002,Japan,Fukuroi,Shizuoka Stadium Ecopa,47085.0,Groups,Cameroon,CMR,Germany,GER,0,0,0,2,0,2,Germany,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
19,19,630,43950049,43950200,2002-06-15,2002,South Korea,Seogwipo,Jeju World Cup Stadium,25176.0,Round of 16,Germany,GER,Paraguay,PAR,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
20,20,638,43950058,43950300,2002-06-21,2002,South Korea,Ulsan,Munsu Football Stadium,37337.0,Quarterfinals,Germany,GER,United States,USA,1,0,0,0,1,0,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
21,21,641,43950061,43950400,2002-06-25,2002,South Korea,Seoul,Seoul World Cup Stadium,65256.0,Semifinals,Germany,GER,South Korea,KOR,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
22,22,644,43950064,43950600,2002-06-30,2002,Japan,Yokohama,International Stadium Yokohama,69029.0,Finals,Germany,GER,Brazil,BRA,0,0,0,2,0,2,Brazil,0.0,0.0,2.0,0.0,2.0,0.0,Finals,Champion,6.0,7.0,6.0
