,Opponent,Result
1934-05-27,Belgium,Win
1934-05-31,Sweden,Win
1934-06-03,Czechoslovakia,Loss
1934-06-07,Austria,Win
1938-06-04,Switzerland,Draw
1938-06-09,Switzerland,Loss
1994-06-17,Bolivia,Win
1994-06-21,Spain,Draw
1994-06-27,South Korea,Win
1994-07-02,Belgium,Win
1994-07-10,Bulgaria,Loss
1998-06-15,United States,Win
1998-06-21,Yugoslavia,Draw
1998-06-25,Iran,Win
1998-06-29,Mexico,Win
1998-07-04,Croatia,Loss
2002-06-01,Saudi Arabia,Win
2002-06-05,Republic of Ireland,Draw
2002-06-11,Cameroon,Win
2002-06-15,Paraguay,Win
2002-06-21,United States,Win
2002-06-25,South Korea,Win
2002-06-30,Brazil,Loss
2006-06-09,Costa Rica,Win
2006-06-14,Poland,Win
2006-06-20,Ecuador,Win
2006-06-24,Sweden,Win
2006-06-30,Argentina,Win
2006-07-04,Italy,Loss
2006-07-08,Portugal,Win
2010-06-13,Australia,Win
2010-06-18,Serbia,Loss
2010-06-23,Ghana,Win
2010-06-27,England,Win
2010-07-03,Argentina,Win
2010-07-07,Spain,Loss
2010-07-10,Uruguay,Win
2014-06-16,Portugal,Win
2014-06-21,Ghana,Draw
2014-06-26,United States,Win
2014-06-30,Algeria,Win
2014-07-04,France,Win
2014-07-08,Brazil,Win
2014-07-13,Argentina,Win
2014-06-30,Algeria,Win
2014-07-04,France,Win
2014-07-08,Brazil,Win
2014-07-13,Argentina,Win
