,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,655,97410009,97410100,2006-06-12,2006,Germany,Hanover,"FIFA World Cup Stadium, Hanover",43000.0,Groups,Italy,ITA,Ghana,GHA,1,0,1,0,2,0,Italy,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
1,669,97410026,97410100,2006-06-17,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Groups,Czech Republic,CZE,Ghana,GHA,0,1,0,1,0,2,Ghana,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
2,685,97410042,97410100,2006-06-22,2006,Germany,Nuremberg,Franken-Stadion,41000.0,Groups,Ghana,GHA,United States,USA,2,1,0,0,2,1,Ghana,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
3,698,97410055,97410200,2006-06-27,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",65000.0,Round of 16,Brazil,BRA,Ghana,GHA,2,0,1,0,3,0,Brazil,2.0,0.0,1.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0
4,714,300061471,249722,2010-06-13,2010,South Africa,Pretoria,Loftus Versfeld Stadium,38833.0,Groups,Serbia,SRB,Ghana,GHA,0,0,0,1,0,1,Ghana,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
5,732,300061469,249722,2010-06-19,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,34812.0,Groups,Ghana,GHA,Australia,AUS,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
6,746,300061468,249722,2010-06-23,2010,South Africa,Johannesburg,Soccer City Stadium,83391.0,Groups,Ghana,GHA,Germany,GER,0,0,0,1,0,1,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
7,757,300061503,249717,2010-06-26,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,34976.0,Round of 16,United States,USA,Ghana,GHA,0,0,1,2,1,2,Ghana,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
8,765,300061508,249718,2010-07-02,2010,South Africa,Johannesburg,Soccer City Stadium,84017.0,Quarterfinals,Uruguay,URU,Ghana,GHA,0,0,1,1,1,1,Uruguay,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
9,785,300186512,255931,2014-06-16,2014,Brazil,Natal,Estadio das Dunas,39760.0,Groups,Ghana,GHA,United States,USA,0,1,1,1,1,2,United States,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
10,799,300186493,255931,2014-06-21,2014,Brazil,Fortaleza,Estadio Castelao,59621.0,Groups,Germany,GER,Ghana,GHA,0,0,2,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
11,817,300186476,255931,2014-06-26,2014,Brazil,Brasília,Estadio Nacional,67540.0,Groups,Portugal,POR,Ghana,GHA,1,0,1,1,2,1,Portugal,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
