,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,19,1119,204,1934-05-27,1934,Italy,Naples,Giorgio Ascarelli,9000.0,Groups,Hungary,HUN,Egypt,EGY,2,2,2,0,4,2,Hungary,2.0,2.0,2.0,0.0,4.0,2.0,Groups,Groups,1.0,1.0
1,29,1106,418,1934-05-31,1934,Italy,Bologna,Littorale,23000.0,Quarterfinals,Austria,AUT,Hungary,HUN,1,0,1,1,2,1,Austria,1.0,0.0,1.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0
2,36,1173,206,1938-06-05,1938,France,Reims,Velodrome Municipale,9000.0,Groups,Hungary,HUN,Dutch West Indies,INH,4,0,2,0,6,0,Hungary,4.0,0.0,2.0,0.0,6.0,0.0,Groups,Groups,1.0,1.0
3,45,1175,429,1938-06-12,1938,France,Lille,Victor Boucquey,15000.0,Quarterfinals,Hungary,HUN,Switzerland,SUI,1,0,1,0,2,0,Hungary,1.0,0.0,1.0,0.0,2.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0
4,49,1176,3489,1938-06-16,1938,France,Paris,Parc des Princes,20000.0,Semifinals,Hungary,HUN,Sweden,SWE,3,1,2,0,5,1,Hungary,3.0,1.0,2.0,0.0,5.0,1.0,Semifinals,Semifinals,4.0,4.0
5,52,1174,3487,1938-06-19,1938,France,Colombes,Stade Olympique,45000.0,Finals,Italy,ITA,Hungary,HUN,3,1,1,1,4,2,Italy,3.0,1.0,1.0,1.0,4.0,2.0,Champion,Finals,7.0,6.0
6,80,1294,211,1954-06-17,1954,Switzerland,Zürich,Hardturm,13000.0,Groups,Hungary,HUN,South Korea,KOR,4,0,5,0,9,0,Hungary,4.0,0.0,5.0,0.0,9.0,0.0,Groups,Groups,1.0,1.0
7,87,1277,211,1954-06-20,1954,Switzerland,Basel,St. Jakob,56000.0,Groups,Hungary,HUN,West Germany,FRG,3,1,5,2,8,3,Hungary,3.0,1.0,5.0,2.0,8.0,3.0,Groups,Groups,1.0,1.0
8,96,1248,212,1954-06-27,1954,Switzerland,Berne,Wankdorf Stadium,40000.0,Quarterfinals,Hungary,HUN,Brazil,BRA,2,1,2,1,4,2,Hungary,2.0,1.0,2.0,1.0,4.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0
9,98,1295,462,1954-06-30,1954,Switzerland,Lausanne,La Pontaise,45000.0,Semifinals,Hungary,HUN,Uruguay,URU,0,0,4,2,4,2,Hungary,0.0,0.0,4.0,2.0,4.0,2.0,Semifinals,Semifinals,4.0,4.0
10,100,1278,3484,1954-07-04,1954,Switzerland,Berne,Wankdorf Stadium,62500.0,Finals,West Germany,FRG,Hungary,HUN,2,2,1,0,3,2,West Germany,2.0,2.0,1.0,0.0,3.0,2.0,Champion,Finals,7.0,6.0
11,104,1407,220,1958-06-08,1958,Sweden,Sandviken,Jarnvallen,15343.0,Groups,Hungary,HUN,Wales,WAL,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
12,116,1406,220,1958-06-12,1958,Sweden,Solna,Rasunda Stadium,38850.0,Groups,Sweden,SWE,Hungary,HUN,1,0,1,1,2,1,Sweden,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
13,120,1403,220,1958-06-15,1958,Sweden,Sandviken,Jarnvallen,13300.0,Groups,Hungary,HUN,Mexico,MEX,1,0,3,0,4,0,Hungary,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0
