,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Iran_result_value
0,0,277,2388,278,1978-06-03,1978,Argentina,Mendoza,San Martin,33431.0,Groups,Netherlands,NED,Iran,IRN,1,0,2,0,3,0,Netherlands,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,285,2408,278,1978-06-07,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,7938.0,Groups,Scotland,SCO,Iran,IRN,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
2,2,293,2405,278,1978-06-11,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,21262.0,Groups,Peru,PER,Iran,IRN,3,1,1,0,4,1,Peru,3.0,1.0,1.0,0.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
3,3,527,8735,1014,1998-06-14,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Groups,Yugoslavia,YUG,Iran,IRN,0,0,1,0,1,0,Yugoslavia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
4,4,545,8754,1014,1998-06-21,1998,France,Lyon,Stade de Gerland,39100.0,Groups,United States,USA,Iran,IRN,0,1,1,1,1,2,Iran,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
5,5,558,8767,1014,1998-06-25,1998,France,Montpellier,La Mosson,29800.0,Groups,Germany,GER,Iran,IRN,0,0,2,0,2,0,Germany,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
6,6,651,97410007,97410100,2006-06-11,2006,Germany,Nuremberg,Franken-Stadion,41000.0,Groups,Mexico,MEX,Iran,IRN,1,1,2,0,3,1,Mexico,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
7,7,668,97410024,97410100,2006-06-17,2006,Germany,Frankfurt am Main,"FIFA World Cup Stadium, Frankfurt",48000.0,Groups,Portugal,POR,Iran,IRN,0,0,2,0,2,0,Portugal,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
8,8,680,97410040,97410100,2006-06-21,2006,Germany,Leipzig,Zentralstadion,38000.0,Groups,Iran,IRN,Angola,ANG,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,784,300186505,255931,2014-06-16,2014,Brazil,Curitiba,Arena da Baixada,39081.0,Groups,Iran,IRN,Nigeria,NGA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
10,10,798,300186466,255931,2014-06-21,2014,Brazil,Belo Horizonte,Estadio Mineirao,57698.0,Groups,Argentina,ARG,Iran,IRN,0,0,1,0,1,0,Argentina,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
11,11,813,300186464,255931,2014-06-25,2014,Brazil,Salvador,Arena Fonte Nova,48011.0,Groups,Bosnia and Herzegovina,BIH,Iran,IRN,1,0,2,1,3,1,Bosnia and Herzegovina,1.0,0.0,2.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
