Opponent,Wins,Matches,Win %
Argentina,3.0,5,60.00%
Brazil,2.0,5,40.00%
France,3.0,5,60.00%
West Germany,3.0,4,75.00%
Austria,4.0,4,100.00%
Mexico,2.0,3,66.67%
Switzerland,1.0,3,33.33%
Poland,1.5,3,50.00%
Spain,2.5,3,83.33%
Norway,3.0,3,100.00%
United States,2.5,3,83.33%
Uruguay,1.5,3,50.00%
Chile,1.5,3,50.00%
Czechoslovakia,2.0,2,100.00%
England,2.0,2,100.00%
Paraguay,1.5,2,75.00%
Hungary,2.0,2,100.00%
South Korea,1.0,2,50.00%
Republic of Ireland,1.0,2,50.00%
Bulgaria,1.5,2,75.00%
Cameroon,1.5,2,75.00%
Sweden,1.0,2,50.00%
Ukraine,1.0,1,100.00%
Soviet Union,0.0,1,0.00%
Slovakia,0.0,1,0.00%
Peru,0.5,1,50.00%
Belgium,1.0,1,100.00%
North Korea,0.0,1,0.00%
Nigeria,1.0,1,100.00%
Netherlands,0.0,1,0.00%
Australia,1.0,1,100.00%
Israel,0.5,1,50.00%
Haiti,1.0,1,100.00%
Ghana,1.0,1,100.00%
Germany,1.0,1,100.00%
Ecuador,1.0,1,100.00%
Czech Republic,1.0,1,100.00%
Croatia,0.0,1,0.00%
Costa Rica,0.0,1,0.00%
New Zealand,0.5,1,50.00%
