Opponent,Wins,Matches,Win %
Austria,4,4,100.0
Norway,3,3,100.0
Czechoslovakia,2,2,100.0
England,2,2,100.0
Hungary,2,2,100.0
Australia,1,1,100.0
Belgium,1,1,100.0
Czech Republic,1,1,100.0
Ecuador,1,1,100.0
Germany,1,1,100.0
Ghana,1,1,100.0
Haiti,1,1,100.0
Nigeria,1,1,100.0
Ukraine,1,1,100.0
Spain,2,3,66.66666666666666
United States,2,3,66.66666666666666
France,3,5,60.0
West Germany,2,4,50.0
Bulgaria,1,2,50.0
Cameroon,1,2,50.0
Paraguay,1,2,50.0
Republic of Ireland,1,2,50.0
South Korea,1,2,50.0
Sweden,1,2,50.0
Argentina,2,5,40.0
Brazil,2,5,40.0
Chile,1,3,33.33333333333333
Mexico,1,3,33.33333333333333
Poland,1,3,33.33333333333333
Switzerland,1,3,33.33333333333333
Uruguay,1,3,33.33333333333333
Costa Rica,0,1,0.0
Croatia,0,1,0.0
Israel,0,1,0.0
Netherlands,0,1,0.0
New Zealand,0,1,0.0
North Korea,0,1,0.0
Peru,0,1,0.0
Slovakia,0,1,0.0
Soviet Union,0,1,0.0
