,Opponent,Result
1934-05-27,United States,Win
1934-05-31,Spain,Draw
1934-06-01,Spain,Win
1934-06-03,Austria,Win
1934-06-10,Czechoslovakia,Win
1938-06-05,Norway,Win
1938-06-12,France,Win
1938-06-16,Brazil,Win
1938-06-19,Hungary,Win
1950-06-25,Sweden,Loss
1950-07-02,Paraguay,Win
1954-06-17,Switzerland,Loss
1954-06-20,Belgium,Win
1954-06-23,Switzerland,Loss
1962-05-31,West Germany,Draw
1962-06-02,Chile,Loss
1962-06-07,Switzerland,Win
1966-07-13,Chile,Win
1966-07-16,Soviet Union,Loss
1966-07-19,North Korea,Loss
1970-06-03,Sweden,Win
1970-06-06,Uruguay,Draw
1970-06-11,Israel,Draw
1970-06-14,Mexico,Win
1970-06-17,West Germany,Win
1970-06-21,Brazil,Loss
1974-06-15,Haiti,Win
1974-06-19,Argentina,Draw
1974-06-23,Poland,Loss
1978-06-02,France,Win
1978-06-06,Hungary,Win
1978-06-10,Argentina,Win
1978-06-14,West Germany,Draw
1978-06-18,Austria,Win
1978-06-21,Netherlands,Loss
1978-06-24,Brazil,Loss
1982-06-14,Poland,Draw
1982-06-18,Peru,Draw
1982-06-23,Cameroon,Draw
1982-06-29,Argentina,Win
1982-07-05,Brazil,Win
1982-07-08,Poland,Win
1982-07-11,West Germany,Win
1986-05-31,Bulgaria,Draw
1986-06-05,Argentina,Draw
1986-06-10,South Korea,Win
1986-06-17,France,Loss
1990-06-09,Austria,Win
1990-06-14,United States,Win
1990-06-19,Czechoslovakia,Win
1990-06-25,Uruguay,Win
1990-06-30,Republic of Ireland,Win
1990-07-03,Argentina,Loss
1990-07-07,England,Win
1994-06-18,Republic of Ireland,Loss
1994-06-23,Norway,Win
1994-06-28,Mexico,Draw
1994-07-05,Nigeria,Win
1994-07-09,Spain,Win
1994-07-13,Bulgaria,Win
1994-07-17,Brazil,Loss
1998-06-11,Chile,Draw
1998-06-17,Cameroon,Win
1998-06-23,Austria,Win
1998-06-27,Norway,Win
1998-07-03,France,Loss
2002-06-03,Ecuador,Win
2002-06-08,Croatia,Loss
2002-06-13,Mexico,Draw
2002-06-18,South Korea,Loss
2006-06-12,Ghana,Win
2006-06-17,United States,Draw
2006-06-22,Czech Republic,Win
2006-06-26,Australia,Win
2006-06-30,Ukraine,Win
2006-07-04,Germany,Win
2006-07-09,France,Win
2010-06-14,Paraguay,Draw
2010-06-20,New Zealand,Draw
2010-06-24,Slovakia,Loss
2014-06-14,England,Win
2014-06-20,Costa Rica,Loss
2014-06-24,Uruguay,Loss
