,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Mexico_result_value
0,0,0,1096,201,1930-07-13,1930,Uruguay,Montevideo,Pocitos,4444.0,Groups,France,FRA,Mexico,MEX,3,0,1,1,4,1,France,3.0,0.0,1.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
1,1,5,1095,201,1930-07-16,1930,Uruguay,Montevideo,Parque Central,9249.0,Groups,Chile,CHI,Mexico,MEX,1,0,2,0,3,0,Chile,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,10,1086,201,1930-07-19,1930,Uruguay,Montevideo,Estadio Centenario,42100.0,Groups,Argentina,ARG,Mexico,MEX,3,1,3,2,6,3,Argentina,3.0,1.0,3.0,2.0,6.0,3.0,Groups,Groups,1.0,1.0,1.0
3,3,53,1187,208,1950-06-24,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,81649.0,Groups,Brazil,BRA,Mexico,MEX,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
4,4,59,1225,208,1950-06-28,1950,Brazil,Porto Alegre,Eucaliptos,11078.0,Groups,Yugoslavia,YUG,Mexico,MEX,2,0,2,1,4,1,Yugoslavia,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
5,5,67,1222,208,1950-07-02,1950,Brazil,Porto Alegre,Eucaliptos,3580.0,Groups,Switzerland,SUI,Mexico,MEX,2,0,0,1,2,1,Switzerland,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
6,6,77,1249,211,1954-06-16,1954,Switzerland,Geneva,Charmilles,13470.0,Groups,Brazil,BRA,Mexico,MEX,4,0,1,0,5,0,Brazil,4.0,0.0,1.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0,1.0
7,7,85,1275,211,1954-06-19,1954,Switzerland,Geneva,Charmilles,19000.0,Groups,France,FRA,Mexico,MEX,1,0,2,2,3,2,France,1.0,0.0,2.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
8,8,101,1415,220,1958-06-08,1958,Sweden,Solna,Rasunda Stadium,34107.0,Groups,Sweden,SWE,Mexico,MEX,1,0,2,0,3,0,Sweden,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
9,9,110,1418,220,1958-06-11,1958,Sweden,Solna,Rasunda Stadium,15150.0,Groups,Mexico,MEX,Wales,WAL,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
