Opponent,Wins,Matches,Win %
Croatia,2.0,2,100.0
Cameroon,1.0,1,100.0
Czechoslovakia,1.0,1,100.0
Ecuador,1.0,1,100.0
El Salvador,1.0,1,100.0
Iran,1.0,1,100.0
Iraq,1.0,1,100.0
Republic of Ireland,1.0,1,100.0
South Korea,1.0,1,100.0
Belgium,2.5,3,83.33333333333334
Bulgaria,1.0,2,50.0
Angola,0.5,1,50.0
Paraguay,0.5,1,50.0
South Africa,0.5,1,50.0
Soviet Union,0.5,1,50.0
Wales,0.5,1,50.0
France,1.5,4,37.5
Italy,1.0,3,33.33333333333333
Uruguay,0.5,2,25.0
Netherlands,0.5,3,16.666666666666664
Brazil,0.5,4,12.5
Argentina,0.0,3,0.0
West Germany,0.0,2,0.0
Chile,0.0,1,0.0
England,0.0,1,0.0
Germany,0.0,1,0.0
Hungary,0.0,1,0.0
Norway,0.0,1,0.0
Poland,0.0,1,0.0
Portugal,0.0,1,0.0
Spain,0.0,1,0.0
Sweden,0.0,1,0.0
Switzerland,0.0,1,0.0
Tunisia,0.0,1,0.0
United States,0.0,1,0.0
Yugoslavia,0.0,1,0.0
