Opponent,Wins,Matches,Win %
Croatia,2,2,100.0
Cameroon,1,1,100.0
Czechoslovakia,1,1,100.0
Ecuador,1,1,100.0
El Salvador,1,1,100.0
Iran,1,1,100.0
Iraq,1,1,100.0
Republic of Ireland,1,1,100.0
South Korea,1,1,100.0
Belgium,2,3,66.66666666666666
Bulgaria,1,2,50.0
France,1,4,25.0
Brazil,0,4,0.0
Argentina,0,3,0.0
Italy,0,3,0.0
Netherlands,0,3,0.0
Uruguay,0,2,0.0
West Germany,0,2,0.0
Angola,0,1,0.0
Chile,0,1,0.0
England,0,1,0.0
Germany,0,1,0.0
Hungary,0,1,0.0
Norway,0,1,0.0
Paraguay,0,1,0.0
Poland,0,1,0.0
Portugal,0,1,0.0
South Africa,0,1,0.0
Soviet Union,0,1,0.0
Spain,0,1,0.0
Sweden,0,1,0.0
Switzerland,0,1,0.0
Tunisia,0,1,0.0
United States,0,1,0.0
Wales,0,1,0.0
Yugoslavia,0,1,0.0
