,Opponent,Result
1930-07-13,France,Loss
1930-07-16,Chile,Loss
1930-07-19,Argentina,Loss
1950-06-24,Brazil,Loss
1950-06-28,Yugoslavia,Loss
1950-07-02,Switzerland,Loss
1954-06-16,Brazil,Loss
1954-06-19,France,Loss
1958-06-08,Sweden,Loss
1958-06-11,Wales,Draw
1958-06-15,Hungary,Loss
1962-05-30,Brazil,Loss
1962-06-03,Spain,Loss
1962-06-07,Czechoslovakia,Win
1966-07-13,France,Draw
1966-07-16,England,Loss
1966-07-19,Uruguay,Draw
1970-05-31,Soviet Union,Draw
1970-06-07,El Salvador,Win
1970-06-11,Belgium,Win
1970-06-14,Italy,Loss
1978-06-02,Tunisia,Loss
1978-06-06,West Germany,Loss
1978-06-10,Poland,Loss
1986-06-03,Belgium,Win
1986-06-07,Paraguay,Draw
1986-06-11,Iraq,Win
1986-06-15,Bulgaria,Win
1986-06-21,West Germany,Loss
1994-06-19,Norway,Loss
1994-06-24,Republic of Ireland,Win
1994-06-28,Italy,Draw
1994-07-05,Bulgaria,Loss
1998-06-13,South Korea,Win
1998-06-20,Belgium,Draw
1998-06-25,Netherlands,Draw
1998-06-29,Germany,Loss
2002-06-03,Croatia,Win
2002-06-09,Ecuador,Win
2002-06-13,Italy,Draw
2002-06-17,United States,Loss
2006-06-11,Iran,Win
2006-06-16,Angola,Draw
2006-06-21,Portugal,Loss
2006-06-24,Argentina,Loss
2010-06-11,South Africa,Draw
2010-06-17,France,Win
2010-06-22,Uruguay,Loss
2010-06-27,Argentina,Loss
2014-06-13,Cameroon,Win
2014-06-17,Brazil,Draw
2014-06-23,Croatia,Win
2014-06-29,Netherlands,Loss
2014-06-29,Netherlands,Loss
