,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,205,1839,250,1970-06-03,1970,Mexico,León,Nou Camp - Estadio León,12942.0,Groups,West Germany,FRG,Morocco,MAR,0,1,2,0,2,1,West Germany,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
1,209,1893,250,1970-06-06,1970,Mexico,León,Nou Camp - Estadio León,13537.0,Groups,Peru,PER,Morocco,MAR,0,0,3,0,3,0,Peru,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
2,221,1779,250,1970-06-11,1970,Mexico,León,Nou Camp - Estadio León,12299.0,Groups,Bulgaria,BUL,Morocco,MAR,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
3,365,674,308,1986-06-02,1986,Mexico,Monterrey,Estadio Universitario,19900.0,Groups,Morocco,MAR,Poland,POL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
4,377,533,308,1986-06-06,1986,Mexico,Monterrey,Tecnologico,20200.0,Groups,England,ENG,Morocco,MAR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
5,390,675,308,1986-06-11,1986,Mexico,Guadalajara,Tres de Marzo,28000.0,Groups,Portugal,POR,Morocco,MAR,0,2,1,1,1,3,Morocco,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0
6,401,574,309,1986-06-17,1986,Mexico,Monterrey,Estadio Universitario,19800.0,Round of 16,Morocco,MAR,West Germany,FRG,0,0,0,1,0,1,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
7,469,3054,337,1994-06-19,1994,United States,Orlando,Citrus Bowl,61219.0,Groups,Belgium,BEL,Morocco,MAR,1,0,0,0,1,0,Belgium,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
8,485,3070,337,1994-06-25,1994,United States,East Rutherford,Giants Stadium,76322.0,Groups,Saudi Arabia,KSA,Morocco,MAR,2,1,0,0,2,1,Saudi Arabia,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
9,496,3081,337,1994-06-29,1994,United States,Orlando,Citrus Bowl,60578.0,Groups,Morocco,MAR,Netherlands,NED,0,1,1,1,1,2,Netherlands,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
10,517,8725,1014,1998-06-10,1998,France,Montpellier,La Mosson,29800.0,Groups,Morocco,MAR,Norway,NOR,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
11,533,8742,1014,1998-06-16,1998,France,Nantes,La Beaujoire,35500.0,Groups,Brazil,BRA,Morocco,MAR,2,0,1,0,3,0,Brazil,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
12,550,8758,1014,1998-06-23,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Groups,Scotland,SCO,Morocco,MAR,0,1,0,2,0,3,Morocco,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
