,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Netherlands_result_value
0,0,20,1133,204,1934-05-27,1934,Italy,Milan,San Siro,33000.0,Groups,Switzerland,SUI,Netherlands,NED,2,1,1,1,3,2,Switzerland,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
1,1,41,1172,206,1938-06-05,1938,France,Le Havre,Cavee Verte,11000.0,Groups,Czechoslovakia,TCH,Netherlands,NED,0,0,3,0,3,0,Czechoslovakia,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,236,2098,262,1974-06-15,1974,Germany,Hanover,Niedersachsenstadion,55100.0,Groups,Uruguay,URU,Netherlands,NED,0,1,0,1,0,2,Netherlands,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
3,3,244,2097,262,1974-06-19,1974,Germany,Dortmund,Westfalenstadion,53700.0,Groups,Netherlands,NED,Sweden,SWE,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
4,4,252,1990,262,1974-06-23,1974,Germany,Dortmund,Westfalenstadion,53300.0,Groups,Bulgaria,BUL,Netherlands,NED,0,2,1,2,1,4,Netherlands,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
5,5,258,1948,263,1974-06-26,1974,Germany,Gelsenkirchen,Parkstadion,56548.0,Round of 16,Netherlands,NED,Argentina,ARG,2,0,2,0,4,0,Netherlands,2.0,0.0,2.0,0.0,4.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
6,6,262,2067,263,1974-06-30,1974,Germany,Gelsenkirchen,Parkstadion,68348.0,Round of 16,East Germany,GDR,Netherlands,NED,0,1,0,1,0,2,Netherlands,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,7,265,1983,263,1974-07-03,1974,Germany,Dortmund,Westfalenstadion,53700.0,Round of 16,Netherlands,NED,Brazil,BRA,0,0,2,0,2,0,Netherlands,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
8,8,269,2063,605,1974-07-07,1974,Germany,Munich,Olympiastadion,78200.0,Finals,Netherlands,NED,West Germany,FRG,1,2,0,0,1,2,West Germany,2.0,1.0,0.0,0.0,2.0,1.0,Finals,Champion,6.0,7.0,6.0
9,9,277,2388,278,1978-06-03,1978,Argentina,Mendoza,San Martin,33431.0,Groups,Netherlands,NED,Iran,IRN,1,0,2,0,3,0,Netherlands,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
