Opponent,Wins,Matches,Win %
Costa Rica,2.0,2,100.0
Uruguay,2.0,2,100.0
Australia,1.0,1,100.0
Austria,1.0,1,100.0
Bulgaria,1.0,1,100.0
Cameroon,1.0,1,100.0
Chile,1.0,1,100.0
Cote d'Ivoire,1.0,1,100.0
Denmark,1.0,1,100.0
East Germany,1.0,1,100.0
Iran,1.0,1,100.0
Italy,1.0,1,100.0
Japan,1.0,1,100.0
Morocco,1.0,1,100.0
Saudi Arabia,1.0,1,100.0
Serbia,1.0,1,100.0
Slovakia,1.0,1,100.0
South Korea,1.0,1,100.0
Yugoslavia,1.0,1,100.0
Mexico,2.5,3,83.33333333333334
Republic of Ireland,1.5,2,75.0
Brazil,4.0,6,66.66666666666666
Spain,1.0,2,50.0
Egypt,0.5,1,50.0
England,0.5,1,50.0
Peru,0.5,1,50.0
Sweden,0.5,1,50.0
Argentina,2.5,6,41.66666666666667
Belgium,0.5,2,25.0
West Germany,0.5,3,16.666666666666664
Croatia,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
Portugal,0.0,1,0.0
Scotland,0.0,1,0.0
Switzerland,0.0,1,0.0
