,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Netherlands_result_value
46,46,827,300186502,255957,2014-07-12,2014,Brazil,Brasília,Estadio Nacional,68034.0,Third place,Brazil,BRA,Netherlands,NED,0,2,0,1,0,3,Netherlands,2.0,0.0,1.0,0.0,3.0,0.0,Third place,Third place,5.0,5.0,5.0
42,42,771,300061509,249721,2010-07-11,2010,South Africa,Johannesburg,Soccer City Stadium,84490.0,Finals,Netherlands,NED,Spain,ESP,0,0,0,1,0,1,Spain,0.0,0.0,1.0,0.0,1.0,0.0,Finals,Champion,6.0,7.0,6.0
35,35,695,97410052,97410200,2006-06-25,2006,Germany,Nuremberg,Franken-Stadion,41000.0,Round of 16,Portugal,POR,Netherlands,NED,1,0,0,0,1,0,Portugal,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
31,31,578,8787,1028,1998-07-11,1998,France,Paris,Parc des Princes,45500.0,Third place,Netherlands,NED,Croatia,CRO,1,2,0,0,1,2,Croatia,2.0,1.0,0.0,0.0,2.0,1.0,Third place,Third place,5.0,5.0,5.0
24,24,509,3098,796,1994-07-09,1994,United States,Dallas,Cotton Bowl,63500.0,Quarterfinals,Netherlands,NED,Brazil,BRA,0,0,2,3,2,3,Brazil,0.0,0.0,3.0,2.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
19,19,451,196,323,1990-06-24,1990,Italy,Milan,Giuseppe Meazza,74559.0,Round of 16,West Germany,FRG,Netherlands,NED,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
15,15,308,2198,639,1978-06-25,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,71483.0,Finals,Argentina,ARG,Netherlands,NED,0,0,3,1,3,1,Argentina,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,6.0
8,8,269,2063,605,1974-07-07,1974,Germany,Munich,Olympiastadion,78200.0,Finals,Netherlands,NED,West Germany,FRG,1,2,0,0,1,2,West Germany,2.0,1.0,0.0,0.0,2.0,1.0,Finals,Champion,6.0,7.0,6.0
1,1,41,1172,206,1938-06-05,1938,France,Le Havre,Cavee Verte,11000.0,Groups,Czechoslovakia,TCH,Netherlands,NED,0,0,3,0,3,0,Czechoslovakia,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
0,0,20,1133,204,1934-05-27,1934,Italy,Milan,San Siro,33000.0,Groups,Switzerland,SUI,Netherlands,NED,2,1,1,1,3,2,Switzerland,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
