Opponent,Wins,Matches,Win %
Argentina,2.5,6,41.67%
Brazil,4.0,6,66.67%
West Germany,0.5,3,16.67%
Mexico,2.5,3,83.33%
Costa Rica,2.0,2,100.00%
Republic of Ireland,1.5,2,75.00%
Spain,1.0,2,50.00%
Uruguay,2.0,2,100.00%
Belgium,0.5,2,25.00%
Sweden,0.5,1,50.00%
Switzerland,0.0,1,0.00%
South Korea,1.0,1,100.00%
Slovakia,1.0,1,100.00%
Serbia,1.0,1,100.00%
Scotland,0.0,1,0.00%
Saudi Arabia,1.0,1,100.00%
Portugal,0.0,1,0.00%
Peru,0.5,1,50.00%
Morocco,1.0,1,100.00%
Italy,1.0,1,100.00%
Japan,1.0,1,100.00%
Australia,1.0,1,100.00%
Iran,1.0,1,100.00%
England,0.5,1,50.00%
Egypt,0.5,1,50.00%
East Germany,1.0,1,100.00%
Denmark,1.0,1,100.00%
Czechoslovakia,0.0,1,0.00%
Croatia,0.0,1,0.00%
Cote d'Ivoire,1.0,1,100.00%
Chile,1.0,1,100.00%
Cameroon,1.0,1,100.00%
Bulgaria,1.0,1,100.00%
Austria,1.0,1,100.00%
Yugoslavia,1.0,1,100.00%
