Opponent,Wins,Matches,Win %
Costa Rica,2,2,100.0
Uruguay,2,2,100.0
Australia,1,1,100.0
Austria,1,1,100.0
Bulgaria,1,1,100.0
Cameroon,1,1,100.0
Chile,1,1,100.0
Cote d'Ivoire,1,1,100.0
Denmark,1,1,100.0
East Germany,1,1,100.0
Iran,1,1,100.0
Italy,1,1,100.0
Japan,1,1,100.0
Morocco,1,1,100.0
Saudi Arabia,1,1,100.0
Serbia,1,1,100.0
Slovakia,1,1,100.0
South Korea,1,1,100.0
Yugoslavia,1,1,100.0
Brazil,4,6,66.66666666666666
Mexico,2,3,66.66666666666666
Republic of Ireland,1,2,50.0
Spain,1,2,50.0
Argentina,2,6,33.33333333333333
West Germany,0,3,0.0
Belgium,0,2,0.0
Croatia,0,1,0.0
Czechoslovakia,0,1,0.0
Egypt,0,1,0.0
England,0,1,0.0
Peru,0,1,0.0
Portugal,0,1,0.0
Scotland,0,1,0.0
Sweden,0,1,0.0
Switzerland,0,1,0.0
