,Opponent,Result
1934-05-27,Switzerland,Loss
1938-06-05,Czechoslovakia,Loss
1974-06-15,Uruguay,Win
1974-06-19,Sweden,Loss
1974-06-23,Bulgaria,Win
1974-06-26,Argentina,Win
1974-06-30,East Germany,Win
1974-07-03,Brazil,Win
1974-07-07,West Germany,Loss
1978-06-03,Iran,Win
1978-06-07,Peru,Loss
1978-06-11,Scotland,Loss
1978-06-14,Austria,Win
1978-06-18,West Germany,Loss
1978-06-21,Italy,Win
1978-06-25,Argentina,Loss
1990-06-12,Egypt,Loss
1990-06-16,England,Loss
1990-06-21,Republic of Ireland,Loss
1990-06-24,West Germany,Loss
1994-06-20,Saudi Arabia,Win
1994-06-25,Belgium,Loss
1994-06-29,Morocco,Win
1994-07-04,Republic of Ireland,Win
1994-07-09,Brazil,Loss
1998-06-13,Belgium,Loss
1998-06-20,South Korea,Win
1998-06-25,Mexico,Loss
1998-06-29,Yugoslavia,Win
1998-07-04,Argentina,Win
1998-07-07,Brazil,Loss
1998-07-11,Croatia,Loss
2006-06-11,Serbia,Win
2006-06-16,Cote d'Ivoire,Win
2006-06-21,Argentina,Loss
2006-06-25,Portugal,Loss
2010-06-14,Denmark,Win
2010-06-19,Japan,Win
2010-06-24,Cameroon,Win
2010-06-28,Slovakia,Win
2010-07-02,Brazil,Win
2010-07-06,Uruguay,Win
2010-07-11,Spain,Loss
2014-06-13,Spain,Win
2014-06-18,Australia,Win
2014-06-23,Chile,Win
2014-07-12,Brazil,Win
2014-07-09,Argentina,Loss
2014-07-05,Costa Rica,Win
2014-06-29,Mexico,Win
2014-06-29,Mexico,Win
2014-07-05,Costa Rica,Win
2014-07-09,Argentina,Loss
2014-07-12,Brazil,Win
