,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,475,3061,337,1994-06-21,1994,United States,Dallas,Cotton Bowl,44132.0,Groups,Nigeria,NGA,Bulgaria,BUL,2,0,1,0,3,0,Nigeria,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
1,486,3071,337,1994-06-25,1994,United States,Foxborough,Foxboro Stadium,54453.0,Groups,Argentina,ARG,Nigeria,NGA,2,1,0,0,2,1,Argentina,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
2,498,3083,337,1994-06-30,1994,United States,Foxborough,Foxboro Stadium,53001.0,Groups,Greece,GRE,Nigeria,NGA,0,1,0,1,0,2,Nigeria,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
3,506,3091,338,1994-07-05,1994,United States,Foxborough,Foxboro Stadium,54367.0,Round of 16,Nigeria,NGA,Italy,ITA,0,0,1,2,1,2,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0
4,523,8731,1014,1998-06-13,1998,France,Nantes,La Beaujoire,35500.0,Groups,Spain,ESP,Nigeria,NGA,1,1,1,2,2,3,Nigeria,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0
5,538,8747,1014,1998-06-19,1998,France,Paris,Parc des Princes,45500.0,Groups,Nigeria,NGA,Bulgaria,BUL,1,0,0,0,1,0,Nigeria,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
6,555,8763,1014,1998-06-24,1998,France,Toulouse,Stade Municipal,33500.0,Groups,Nigeria,NGA,Paraguay,PAR,1,1,0,2,1,3,Paraguay,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
7,567,8775,1024,1998-06-28,1998,France,Saint-Denis,Stade de France,77000.0,Round of 16,Nigeria,NGA,Denmark,DEN,0,2,1,2,1,4,Denmark,2.0,0.0,2.0,1.0,4.0,1.0,Round of 16,Round of 16,2.0,2.0
8,584,43950007,43950100,2002-06-02,2002,Japan,Kashima,Kashima Stadium,34050.0,Groups,Argentina,ARG,Nigeria,NGA,0,0,1,0,1,0,Argentina,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
9,600,43950021,43950100,2002-06-07,2002,Japan,Kobe,Kobe Wing Stadium,36194.0,Groups,Sweden,SWE,Nigeria,NGA,1,1,1,0,2,1,Sweden,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
10,618,43950038,43950100,2002-06-12,2002,Japan,Osaka,Osaka Nagai Stadium,44864.0,Groups,Nigeria,NGA,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
11,711,300061460,249722,2010-06-12,2010,South Africa,Johannesburg,Ellis Park Stadium,55686.0,Groups,Argentina,ARG,Nigeria,NGA,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
12,726,300061457,249722,2010-06-17,2010,South Africa,Bloemfontein,Free State Stadium,31593.0,Groups,Greece,GRE,Nigeria,NGA,1,1,1,0,2,1,Greece,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
13,742,300111115,249722,2010-06-22,2010,South Africa,Durban,Durban Stadium,61874.0,Groups,Nigeria,NGA,South Korea,KOR,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
14,784,300186505,255931,2014-06-16,2014,Brazil,Curitiba,Arena da Baixada,39081.0,Groups,Iran,IRN,Nigeria,NGA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
15,800,300186511,255931,2014-06-21,2014,Brazil,Cuiabá,Arena Pantanal,40499.0,Groups,Nigeria,NGA,Bosnia and Herzegovina,BIH,1,0,0,0,1,0,Nigeria,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
16,812,300186458,255931,2014-06-25,2014,Brazil,Porto Alegre,Estadio Beira-Rio,43285.0,Groups,Nigeria,NGA,Argentina,ARG,1,2,1,1,2,3,Argentina,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0
17,822,300186462,255951,2014-06-30,2014,Brazil,Brasília,Estadio Nacional,67882.0,Round of 16,France,FRA,Nigeria,NGA,0,0,2,0,2,0,France,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0
18,840,300186462,255951,2014-06-30,2014,Brazil,Brasília,Estadio Nacional,67882.0,Round of 16,France,FRA,Nigeria,NGA,0,0,2,0,2,0,France,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0
