,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,7,1097,201,1930-07-17,1930,Uruguay,Montevideo,Parque Central,18306.0,Groups,United States,USA,Paraguay,PAR,2,0,1,0,3,0,United States,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
1,12,1089,201,1930-07-20,1930,Uruguay,Montevideo,Estadio Centenario,12000.0,Groups,Paraguay,PAR,Belgium,BEL,1,0,0,0,1,0,Paraguay,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
2,61,1228,208,1950-06-29,1950,Brazil,Curitiba,Durival de Brito,7903.0,Groups,Sweden,SWE,Paraguay,PAR,2,1,0,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
3,65,1218,208,1950-07-02,1950,Brazil,São Paulo,Pacaembu,25811.0,Groups,Italy,ITA,Paraguay,PAR,1,0,1,0,2,0,Italy,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
4,105,1386,220,1958-06-08,1958,Sweden,Norrköping,Idrottsparken,16518.0,Groups,France,FRA,Paraguay,PAR,2,2,5,1,7,3,France,2.0,2.0,5.0,1.0,7.0,3.0,Groups,Groups,1.0,1.0
5,111,1423,220,1958-06-11,1958,Sweden,Norrköping,Idrottsparken,11665.0,Groups,Paraguay,PAR,Scotland,SCO,2,1,1,1,3,2,Paraguay,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0
6,121,1426,220,1958-06-15,1958,Sweden,Eskilstuna,Tunavallen,13103.0,Groups,Paraguay,PAR,Yugoslavia,YUG,1,2,2,1,3,3,Draw,,,,,,,Groups,Groups,1.0,1.0
7,369,628,308,1986-06-04,1986,Mexico,Toluca,Bombonera - Estadio Nemesio Diez,24000.0,Groups,Paraguay,PAR,Iraq,IRQ,1,0,0,0,1,0,Paraguay,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
8,379,680,308,1986-06-07,1986,Mexico,Mexico City,Estadio Azteca,114600.0,Groups,Mexico,MEX,Paraguay,PAR,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
9,388,429,308,1986-06-11,1986,Mexico,Toluca,Bombonera - Estadio Nemesio Diez,16000.0,Groups,Paraguay,PAR,Belgium,BEL,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
10,402,536,309,1986-06-18,1986,Mexico,Mexico City,Estadio Azteca,98728.0,Round of 16,England,ENG,Paraguay,PAR,1,0,2,0,3,0,England,1.0,0.0,2.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0
11,520,8728,1014,1998-06-12,1998,France,Montpellier,La Mosson,29800.0,Groups,Paraguay,PAR,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
12,539,8748,1014,1998-06-19,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Groups,Spain,ESP,Paraguay,PAR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
13,555,8763,1014,1998-06-24,1998,France,Toulouse,Stade Municipal,33500.0,Groups,Nigeria,NGA,Paraguay,PAR,1,1,0,2,1,3,Paraguay,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
14,566,8776,1024,1998-06-28,1998,France,Lens,Stade Felix Bollaert,31800.0,Round of 16,France,FRA,Paraguay,PAR,0,0,1,0,1,0,France,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
15,585,43950006,43950100,2002-06-02,2002,South Korea,Busan,Busan Asiad Main Stadium,25186.0,Groups,Paraguay,PAR,South Africa,RSA,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
16,602,43950022,43950100,2002-06-07,2002,South Korea,Jeonju,Jeonju World Cup Stadium,24000.0,Groups,Spain,ESP,Paraguay,PAR,0,1,3,0,3,1,Spain,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
17,619,43950040,43950100,2002-06-12,2002,South Korea,Seogwipo,Jeju World Cup Stadium,30176.0,Groups,Slovenia,SVN,Paraguay,PAR,1,0,0,3,1,3,Paraguay,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
18,630,43950049,43950200,2002-06-15,2002,South Korea,Seogwipo,Jeju World Cup Stadium,25176.0,Round of 16,Germany,GER,Paraguay,PAR,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0
19,647,97410003,97410100,2006-06-10,2006,Germany,Frankfurt am Main,"FIFA World Cup Stadium, Frankfurt",48000.0,Groups,England,ENG,Paraguay,PAR,1,0,0,0,1,0,England,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
20,664,97410020,97410100,2006-06-15,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Sweden,SWE,Paraguay,PAR,0,0,1,0,1,0,Sweden,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
21,679,97410036,97410100,2006-06-20,2006,Germany,Kaiserslautern,Fritz-Walter-Stadion,46000.0,Groups,Paraguay,PAR,Trinidad and Tobago,TRI,1,0,1,0,2,0,Paraguay,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
22,718,300061484,249722,2010-06-14,2010,South Africa,Cape Town,Cape Town Stadium,62869.0,Groups,Italy,ITA,Paraguay,PAR,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
23,734,300061481,249722,2010-06-20,2010,South Africa,Bloemfontein,Free State Stadium,26643.0,Groups,Slovakia,SVK,Paraguay,PAR,0,1,0,1,0,2,Paraguay,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
24,749,300061479,249722,2010-06-24,2010,South Africa,Polokwane,Peter Mokaba Stadium,34850.0,Groups,Paraguay,PAR,New Zealand,NZL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
25,762,300061497,249717,2010-06-29,2010,South Africa,Pretoria,Loftus Versfeld Stadium,36742.0,Round of 16,Paraguay,PAR,Japan,JPN,0,0,0,0,0,0,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,Round of 16,Round of 16,2.0,2.0
26,767,300061506,249718,2010-07-03,2010,South Africa,Johannesburg,Ellis Park Stadium,55359.0,Quarterfinals,Paraguay,PAR,Spain,ESP,0,0,0,1,0,1,Spain,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0
