,Opponent,Result
1930-07-17,United States,Loss
1930-07-20,Belgium,Win
1950-06-29,Sweden,Draw
1950-07-02,Italy,Loss
1958-06-08,France,Loss
1958-06-11,Scotland,Win
1958-06-15,Yugoslavia,Draw
1986-06-04,Iraq,Win
1986-06-07,Mexico,Draw
1986-06-11,Belgium,Draw
1986-06-18,England,Loss
1998-06-12,Bulgaria,Draw
1998-06-19,Spain,Draw
1998-06-24,Nigeria,Win
1998-06-28,France,Loss
2002-06-02,South Africa,Draw
2002-06-07,Spain,Loss
2002-06-12,Slovenia,Win
2002-06-15,Germany,Loss
2006-06-10,England,Loss
2006-06-15,Sweden,Loss
2006-06-20,Trinidad and Tobago,Win
2010-06-14,Italy,Draw
2010-06-20,Slovakia,Win
2010-06-24,New Zealand,Draw
2010-06-29,Japan,Win
2010-07-03,Spain,Loss
