,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Poland_result_value
0,0,40,1150,206,1938-06-05,1938,France,Strasbourg,Stade de la Meinau,13452.0,Groups,Brazil,BRA,Poland,POL,0,0,6,5,6,5,Brazil,0.0,0.0,6.0,5.0,6.0,5.0,Groups,Groups,1.0,1.0,1.0
1,1,239,1952,262,1974-06-15,1974,Germany,Stuttgart,Neckarstadion,32700.0,Groups,Poland,POL,Argentina,ARG,2,0,1,2,3,2,Poland,2.0,0.0,1.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
2,2,246,2085,262,1974-06-19,1974,Germany,Munich,Olympiastadion,25300.0,Groups,Haiti,HAI,Poland,POL,0,5,0,2,0,7,Poland,5.0,0.0,2.0,0.0,7.0,0.0,Groups,Groups,1.0,1.0,1.0
3,3,255,2129,262,1974-06-23,1974,Germany,Stuttgart,Neckarstadion,70100.0,Groups,Poland,POL,Italy,ITA,2,0,0,1,2,1,Poland,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
4,4,259,2167,263,1974-06-26,1974,Germany,Stuttgart,Neckarstadion,44955.0,Round of 16,Sweden,SWE,Poland,POL,0,1,0,0,0,1,Poland,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
5,5,261,2170,263,1974-06-30,1974,Germany,Frankfurt am Main,Waldstadion,58000.0,Round of 16,Poland,POL,Yugoslavia,YUG,1,1,1,0,2,1,Poland,1.0,1.0,1.0,0.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
6,6,264,2064,263,1974-07-03,1974,Germany,Frankfurt am Main,Waldstadion,62000.0,Round of 16,Poland,POL,West Germany,FRG,0,0,0,1,0,1,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,7,268,1984,264,1974-07-06,1974,Germany,Munich,Olympiastadion,77100.0,Third place,Brazil,BRA,Poland,POL,0,0,0,1,0,1,Poland,0.0,0.0,1.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
8,8,270,2351,278,1978-06-01,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,67579.0,Groups,West Germany,FRG,Poland,POL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
9,9,280,2454,278,1978-06-06,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,9624.0,Groups,Poland,POL,Tunisia,TUN,1,0,0,0,1,0,Poland,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
10,10,288,2431,278,1978-06-10,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,22651.0,Groups,Poland,POL,Mexico,MEX,1,0,2,1,3,1,Poland,1.0,0.0,2.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
11,11,298,2202,279,1978-06-14,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,37091.0,Round of 16,Argentina,ARG,Poland,POL,1,0,1,0,2,0,Argentina,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
12,12,299,2450,279,1978-06-18,1978,Argentina,Mendoza,San Martin,35288.0,Round of 16,Poland,POL,Peru,PER,0,0,1,0,1,0,Poland,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
13,13,305,2252,279,1978-06-21,1978,Argentina,Mendoza,San Martin,39586.0,Round of 16,Brazil,BRA,Poland,POL,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
