,Opponent,Result
1938-06-05,Brazil,Loss
1974-06-15,Argentina,Win
1974-06-19,Haiti,Win
1974-06-23,Italy,Win
1974-06-26,Sweden,Win
1974-06-30,Yugoslavia,Win
1974-07-03,West Germany,Loss
1974-07-06,Brazil,Win
1978-06-01,West Germany,Draw
1978-06-06,Tunisia,Win
1978-06-10,Mexico,Win
1978-06-14,Argentina,Loss
1978-06-18,Peru,Win
1978-06-21,Brazil,Loss
1982-06-14,Italy,Draw
1982-06-19,Cameroon,Draw
1982-06-22,Peru,Win
1982-06-28,Belgium,Win
1982-07-04,Soviet Union,Draw
1982-07-08,Italy,Loss
1982-07-10,France,Win
1986-06-02,Morocco,Draw
1986-06-07,Portugal,Win
1986-06-11,England,Loss
1986-06-16,Brazil,Loss
2002-06-04,South Korea,Loss
2002-06-10,Portugal,Loss
2002-06-14,United States,Win
2006-06-09,Ecuador,Loss
2006-06-14,Germany,Loss
2006-06-20,Costa Rica,Win
