,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Portugal_result_value
0,0,173,1675,238,1966-07-13,1966,England,Manchester,Old Trafford Stadium,29886.0,Groups,Portugal,POR,Hungary,HUN,1,0,2,1,3,1,Portugal,1.0,0.0,2.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
1,1,180,1602,238,1966-07-16,1966,England,Manchester,Old Trafford Stadium,25438.0,Groups,Portugal,POR,Bulgaria,BUL,2,0,1,0,3,0,Portugal,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,186,1598,238,1966-07-19,1966,England,Liverpool,Goodison Park,58479.0,Groups,Portugal,POR,Brazil,BRA,2,0,1,1,3,1,Portugal,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
3,3,195,1702,239,1966-07-23,1966,England,Liverpool,Goodison Park,40248.0,Quarterfinals,Portugal,POR,North Korea,PRK,2,3,3,0,5,3,Portugal,2.0,3.0,3.0,0.0,5.0,3.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
4,4,197,1635,536,1966-07-26,1966,England,London,Wembley Stadium,94493.0,Semifinals,England,ENG,Portugal,POR,1,0,1,1,2,1,England,1.0,0.0,1.0,1.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
5,5,198,1709,3479,1966-07-28,1966,England,London,Wembley Stadium,87696.0,Third place,Portugal,POR,Soviet Union,URS,1,1,1,0,2,1,Portugal,1.0,1.0,1.0,0.0,2.0,1.0,Third place,Third place,5.0,5.0,5.0
6,6,368,538,308,1986-06-03,1986,Mexico,Monterrey,Tecnologico,23000.0,Groups,Portugal,POR,England,ENG,0,0,1,0,1,0,Portugal,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
7,7,380,701,308,1986-06-07,1986,Mexico,Monterrey,Estadio Universitario,19915.0,Groups,Poland,POL,Portugal,POR,0,0,1,0,1,0,Poland,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
8,8,390,675,308,1986-06-11,1986,Mexico,Guadalajara,Tres de Marzo,28000.0,Groups,Portugal,POR,Morocco,MAR,0,2,1,1,1,3,Morocco,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
9,9,595,43950016,43950100,2002-06-05,2002,South Korea,Suwon,Suwon World Cup Stadium,37306.0,Groups,United States,USA,Portugal,POR,3,1,0,1,3,2,United States,3.0,1.0,0.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
