,Opponent,Result
1966-07-13,Hungary,Win
1966-07-16,Bulgaria,Win
1966-07-19,Brazil,Win
1966-07-23,North Korea,Win
1966-07-26,England,Loss
1966-07-28,Soviet Union,Win
1986-06-03,England,Win
1986-06-07,Poland,Loss
1986-06-11,Morocco,Loss
2002-06-05,United States,Loss
2002-06-10,Poland,Win
2002-06-14,South Korea,Loss
2006-06-11,Angola,Win
2006-06-17,Iran,Win
2006-06-21,Mexico,Win
2006-06-25,Netherlands,Win
2006-07-01,England,Win
2006-07-05,France,Loss
2006-07-08,Germany,Loss
2010-06-15,Cote d'Ivoire,Draw
2010-06-21,North Korea,Win
2010-06-25,Brazil,Draw
2010-06-29,Spain,Loss
2014-06-16,Germany,Loss
2014-06-22,United States,Draw
2014-06-26,Ghana,Win
