,Opponent,Result
1930-07-14,Peru,Win
1930-07-21,Uruguay,Loss
1934-05-27,Czechoslovakia,Loss
1938-06-05,Cuba,Loss
1938-06-09,Cuba,Loss
1970-06-02,England,Loss
1970-06-06,Czechoslovakia,Win
1970-06-10,Brazil,Loss
1990-06-09,Soviet Union,Win
1990-06-14,Cameroon,Loss
1990-06-18,Argentina,Loss
1990-06-25,Republic of Ireland,Loss
1994-06-18,Colombia,Win
1994-06-22,Switzerland,Loss
1994-06-26,United States,Win
1994-07-03,Argentina,Win
1994-07-10,Sweden,Loss
1998-06-15,Colombia,Win
1998-06-22,England,Win
1998-06-26,Tunisia,Loss
1998-06-30,Croatia,Loss
