,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,472,3058,337,1994-06-20,1994,United States,Washington,RFK Stadium,50535.0,Groups,Netherlands,NED,Saudi Arabia,KSA,0,1,2,0,2,1,Netherlands,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
1,485,3070,337,1994-06-25,1994,United States,East Rutherford,Giants Stadium,76322.0,Groups,Saudi Arabia,KSA,Morocco,MAR,2,1,0,0,2,1,Saudi Arabia,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
2,497,3082,337,1994-06-29,1994,United States,Washington,RFK Stadium,52959.0,Groups,Belgium,BEL,Saudi Arabia,KSA,0,1,0,0,0,1,Saudi Arabia,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
3,502,3087,338,1994-07-03,1994,United States,Dallas,Cotton Bowl,60277.0,Round of 16,Saudi Arabia,KSA,Sweden,SWE,0,1,1,2,1,3,Sweden,1.0,0.0,2.0,1.0,3.0,1.0,Round of 16,Round of 16,2.0,2.0
4,521,8729,1014,1998-06-12,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Saudi Arabia,KSA,Denmark,DEN,0,0,0,1,0,1,Denmark,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
5,537,8745,1014,1998-06-18,1998,France,Saint-Denis,Stade de France,80000.0,Groups,France,FRA,Saudi Arabia,KSA,1,0,3,0,4,0,France,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0
6,553,8764,1014,1998-06-24,1998,France,Bordeaux,Stade du Parc Lescure,31800.0,Groups,South Africa,RSA,Saudi Arabia,KSA,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
7,583,43950004,43950100,2002-06-01,2002,Japan,Sapporo,Sapporo Dome,32218.0,Groups,Germany,GER,Saudi Arabia,KSA,4,0,4,0,8,0,Germany,4.0,0.0,4.0,0.0,8.0,0.0,Groups,Groups,1.0,1.0
8,598,43950019,43950100,2002-06-06,2002,Japan,Saitama,Saitama Stadium 2002,52328.0,Groups,Cameroon,CMR,Saudi Arabia,KSA,0,0,1,0,1,0,Cameroon,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
9,615,43950036,43950100,2002-06-11,2002,Japan,Yokohama,International Stadium Yokohama,65320.0,Groups,Saudi Arabia,KSA,Republic of Ireland,IRL,0,1,0,2,0,3,Republic of Ireland,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
10,660,97410016,97410100,2006-06-14,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Groups,Tunisia,TUN,Saudi Arabia,KSA,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
11,675,97410032,97410100,2006-06-19,2006,Germany,Hamburg,"FIFA World Cup Stadium, Hamburg",50000.0,Groups,Saudi Arabia,KSA,Ukraine,UKR,0,2,0,2,0,4,Ukraine,2.0,0.0,2.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0
12,689,97410047,97410100,2006-06-23,2006,Germany,Kaiserslautern,Fritz-Walter-Stadion,46000.0,Groups,Saudi Arabia,KSA,Spain,ESP,0,1,0,0,0,1,Spain,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
