,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,76,1236,211,1954-06-16,1954,Switzerland,Zürich,Hardturm,25000.0,Groups,Austria,AUT,Scotland,SCO,1,0,0,0,1,0,Austria,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
1,83,1313,211,1954-06-19,1954,Switzerland,Basel,St. Jakob,34000.0,Groups,Uruguay,URU,Scotland,SCO,2,0,5,0,7,0,Uruguay,2.0,0.0,5.0,0.0,7.0,0.0,Groups,Groups,1.0,1.0
2,106,1434,220,1958-06-08,1958,Sweden,Västerås,Arosvallen,9591.0,Groups,Yugoslavia,YUG,Scotland,SCO,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
3,111,1423,220,1958-06-11,1958,Sweden,Norrköping,Idrottsparken,11665.0,Groups,Paraguay,PAR,Scotland,SCO,2,1,1,1,3,2,Paraguay,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0
4,122,1387,220,1958-06-15,1958,Sweden,Örebro,Eyravallen,13554.0,Groups,France,FRA,Scotland,SCO,2,0,0,1,2,1,France,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
5,235,2176,262,1974-06-14,1974,Germany,Dortmund,Westfalenstadion,27000.0,Groups,Zaire,ZAI,Scotland,SCO,0,2,0,0,0,2,Scotland,2.0,0.0,0.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
6,241,1985,262,1974-06-18,1974,Germany,Frankfurt am Main,Waldstadion,62000.0,Groups,Scotland,SCO,Brazil,BRA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
7,248,2175,262,1974-06-22,1974,Germany,Frankfurt am Main,Waldstadion,56000.0,Groups,Scotland,SCO,Yugoslavia,YUG,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
8,276,2451,278,1978-06-03,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,37927.0,Groups,Peru,PER,Scotland,SCO,1,1,2,0,3,1,Peru,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
9,285,2408,278,1978-06-07,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,7938.0,Groups,Scotland,SCO,Iran,IRN,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
10,294,2395,278,1978-06-11,1978,Argentina,Mendoza,San Martin,35130.0,Groups,Scotland,SCO,Netherlands,NED,1,1,2,1,3,2,Scotland,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0
